date_day,icd10_code_001_J12.8,icd10_code_002_I10.90,icd10_code_003_J96.00,icd10_code_004_Z22.8,icd10_code_005_B33.8,icd10_cat_001_E87,icd10_cat_002_J12,icd10_cat_003_J96,icd10_cat_004_I10,icd10_cat_005_N18,icd10_chap_001_R,icd10_chap_002_I,icd10_chap_003_E,icd10_chap_004_J,icd10_chap_005_Z
2020-03-13,NA,25,NA,NA,NA,18,NA,8,26,18,45,69,60,32,71
2020-03-14,NA,14,NA,NA,NA,7,NA,6,14,7,29,35,24,23,35
2020-03-15,NA,17,6,NA,NA,15,NA,9,20,20,35,51,40,23,48
2020-03-16,NA,25,10,NA,NA,13,5,13,33,21,45,77,73,42,89
2020-03-17,NA,35,NA,NA,NA,11,NA,6,43,25,55,93,78,35,83
2020-03-18,NA,28,6,NA,NA,16,NA,10,35,27,53,82,68,38,93
2020-03-19,NA,31,5,NA,NA,11,NA,8,32,15,51,67,50,35,66
2020-03-20,NA,21,NA,NA,NA,16,NA,7,24,19,40,52,54,26,62
2020-03-21,NA,14,5,NA,NA,5,5,5,16,5,22,28,20,19,29
2020-03-22,NA,12,NA,NA,NA,6,NA,NA,12,6,20,22,21,22,20
2020-03-23,7,27,5,NA,NA,14,7,8,33,15,45,74,68,34,79
2020-03-24,NA,24,8,NA,NA,18,NA,10,26,24,43,60,66,37,58
2020-03-25,NA,29,NA,NA,NA,18,NA,12,31,20,57,71,64,34,63
2020-03-26,NA,26,NA,NA,NA,12,5,8,28,23,53,68,64,26,70
2020-03-27,NA,22,5,NA,NA,14,NA,6,23,15,42,54,43,24,60
2020-03-28,5,14,NA,NA,5,7,5,6,14,10,22,27,29,21,31
2020-03-29,NA,15,NA,NA,NA,8,NA,NA,16,NA,27,34,31,10,38
2020-03-30,6,38,NA,NA,NA,20,6,6,42,23,46,83,74,35,74
2020-03-31,NA,27,NA,NA,NA,15,NA,7,27,20,56,66,56,27,69
2020-04-01,NA,27,NA,NA,NA,8,NA,NA,29,20,34,53,56,21,61
2020-04-02,NA,20,NA,NA,NA,17,NA,9,23,17,43,61,51,28,47
2020-04-03,6,19,NA,NA,NA,15,6,5,23,18,39,54,57,25,58
2020-04-04,NA,10,NA,NA,NA,13,NA,5,11,13,40,36,35,18,39
2020-04-05,NA,14,NA,NA,NA,9,NA,7,16,7,27,34,30,21,33
2020-04-06,NA,37,NA,NA,NA,22,NA,8,38,22,61,86,77,35,80
2020-04-07,NA,28,NA,NA,NA,27,NA,9,31,20,53,75,75,31,74
2020-04-08,NA,34,5,NA,NA,15,NA,10,37,16,52,70,55,34,74
2020-04-09,NA,26,6,NA,NA,11,NA,10,31,15,47,66,59,31,65
2020-04-10,NA,13,NA,NA,NA,12,NA,5,14,5,31,32,28,12,32
2020-04-11,NA,11,NA,NA,NA,14,NA,NA,13,11,24,33,33,14,22
2020-04-12,NA,14,NA,NA,NA,7,NA,NA,15,10,22,30,25,14,25
2020-04-13,5,18,NA,NA,NA,9,5,5,20,7,37,41,40,21,34
2020-04-14,NA,24,5,NA,NA,14,NA,9,33,18,48,76,70,27,74
2020-04-15,NA,36,5,NA,NA,17,NA,5,37,19,57,76,69,32,81
2020-04-16,5,35,5,NA,NA,23,5,10,38,19,51,76,72,35,85
2020-04-17,NA,18,NA,NA,NA,12,NA,8,19,12,44,50,51,15,63
2020-04-18,NA,9,NA,NA,NA,5,NA,NA,11,8,18,29,22,8,29
2020-04-19,NA,21,NA,NA,NA,11,NA,NA,22,13,31,41,39,14,34
2020-04-20,NA,26,NA,NA,NA,21,NA,5,32,35,57,91,69,23,90
2020-04-21,NA,32,NA,NA,NA,14,NA,NA,35,22,52,88,65,26,81
2020-04-22,NA,24,6,NA,NA,17,NA,8,31,20,38,74,70,34,86
2020-04-23,NA,26,NA,NA,NA,15,NA,6,31,21,49,70,60,24,66
2020-04-24,NA,24,NA,NA,NA,14,NA,NA,27,20,51,68,57,29,57
2020-04-25,NA,13,NA,NA,NA,NA,NA,NA,14,12,26,30,24,12,25
2020-04-26,NA,19,NA,NA,NA,8,NA,5,22,11,40,52,42,20,45
2020-04-27,NA,44,NA,NA,NA,16,NA,10,50,23,64,96,84,31,107
2020-04-28,NA,45,NA,NA,NA,14,NA,9,48,25,48,82,78,29,82
2020-04-29,NA,43,NA,NA,NA,23,NA,7,51,25,63,85,79,26,90
2020-04-30,NA,41,7,NA,NA,21,NA,12,48,28,51,95,80,30,86
2020-05-01,NA,22,NA,NA,NA,14,NA,6,22,17,46,64,57,23,60
2020-05-02,NA,7,NA,NA,NA,6,NA,NA,7,6,21,27,18,8,22
2020-05-03,NA,11,NA,NA,NA,5,NA,NA,12,10,22,31,29,16,37
2020-05-04,NA,39,NA,NA,NA,22,NA,9,42,30,76,106,91,44,103
2020-05-05,NA,40,NA,NA,NA,15,NA,7,44,29,56,86,95,28,86
2020-05-06,NA,44,NA,NA,NA,14,NA,NA,47,25,62,90,71,26,95
2020-05-07,NA,34,NA,NA,NA,17,NA,NA,42,20,61,82,80,23,74
2020-05-08,NA,29,5,NA,NA,19,NA,8,33,21,52,80,61,26,71
2020-05-09,NA,19,NA,NA,NA,6,NA,NA,22,14,38,48,37,16,48
2020-05-10,NA,17,NA,NA,NA,6,NA,NA,20,10,33,41,39,11,48
2020-05-11,NA,51,NA,NA,NA,13,NA,5,54,31,63,113,95,31,108
2020-05-12,NA,43,NA,NA,NA,14,NA,NA,46,19,59,86,89,34,105
2020-05-13,NA,39,NA,NA,NA,17,NA,10,44,18,55,85,79,23,88
2020-05-14,NA,38,NA,NA,NA,15,NA,6,41,25,63,106,85,45,115
2020-05-15,NA,22,NA,NA,NA,17,NA,7,29,22,48,64,58,33,72
