date_day,icd10_code_001_J12.8,icd10_code_002_I10.90,icd10_code_003_J96.00,icd10_code_004_Z22.8,icd10_code_005_B33.8,icd10_cat_001_E87,icd10_cat_002_J12,icd10_cat_003_J96,icd10_cat_004_I10,icd10_cat_005_N18,icd10_chap_001_R,icd10_chap_002_I,icd10_chap_003_E,icd10_chap_004_J,icd10_chap_005_Z
2020-11-04,11,42,8,NA,6,21,11,11,44,27,73,100,86,40,106
2020-11-05,13,32,14,NA,5,18,13,15,33,18,55,85,68,39,85
2020-11-06,21,38,17,NA,11,36,21,20,43,29,72,92,84,51,86
2020-11-07,6,10,6,NA,5,12,6,9,12,8,33,36,30,19,40
2020-11-08,6,22,7,NA,NA,5,6,7,22,8,38,43,34,17,50
2020-11-09,13,55,11,NA,NA,30,13,15,55,45,94,117,115,54,120
2020-11-10,7,50,NA,NA,NA,28,7,10,56,41,73,115,105,39,115
2020-11-11,12,38,7,NA,5,20,12,12,42,25,74,102,91,40,103
2020-11-12,10,36,11,NA,NA,12,10,17,43,40,82,114,91,48,107
2020-11-13,7,19,5,NA,6,17,7,6,20,20,55,67,61,30,80
2020-11-14,5,15,NA,NA,NA,13,5,7,19,16,52,48,35,28,43
2020-11-15,5,18,NA,NA,NA,15,5,NA,21,19,45,47,44,24,46
2020-11-16,16,43,8,NA,9,30,16,15,54,41,83,114,113,44,111
2020-11-17,5,31,NA,NA,NA,23,5,5,36,21,69,86,83,20,102
2020-11-18,9,28,5,NA,NA,22,9,9,39,28,61,90,75,36,105
2020-11-19,11,41,NA,NA,7,20,11,6,42,29,76,91,79,43,105
2020-11-20,NA,34,NA,NA,NA,15,NA,7,38,21,73,88,72,30,87
2020-11-21,NA,9,NA,NA,NA,7,NA,6,10,7,27,36,29,11,42
2020-11-22,8,22,5,NA,NA,13,8,10,22,15,44,46,40,23,52
2020-11-23,8,41,NA,NA,NA,27,10,6,48,27,79,105,99,47,110
2020-11-24,11,34,6,NA,NA,33,11,12,38,22,71,88,88,40,93
2020-11-25,NA,43,8,NA,NA,25,NA,11,48,25,73,107,93,34,116
2020-11-26,8,37,NA,NA,6,24,8,6,46,28,58,97,73,37,98
2020-11-27,7,37,5,NA,NA,20,7,7,45,24,68,91,71,38,77
2020-11-28,5,10,NA,NA,NA,11,5,NA,12,6,28,31,28,13,32
2020-11-29,5,22,8,NA,NA,11,6,9,22,16,41,48,42,24,45
2020-11-30,10,53,7,NA,NA,31,10,16,55,33,71,125,106,54,146
2020-12-01,5,37,6,NA,NA,13,5,7,39,20,72,94,70,37,104
2020-12-02,NA,36,5,NA,NA,17,NA,9,38,18,59,81,73,31,88
2020-12-03,6,46,NA,NA,NA,19,6,11,49,38,71,103,89,44,107
2020-12-04,7,34,5,NA,NA,17,8,11,37,23,86,94,76,42,94
2020-12-05,7,16,NA,NA,NA,7,7,NA,17,9,41,42,33,19,33
2020-12-06,NA,24,5,NA,NA,11,NA,7,24,14,35,43,38,20,47
2020-12-07,9,56,10,NA,NA,19,9,13,57,36,95,129,128,47,144
2020-12-08,8,34,7,NA,NA,23,8,10,37,22,68,89,90,35,91
2020-12-09,9,42,NA,NA,5,22,9,7,44,20,74,105,75,34,108
2020-12-10,5,39,NA,NA,NA,24,5,7,44,17,60,95,87,29,103
2020-12-11,9,27,6,NA,NA,18,9,9,31,20,58,65,64,29,71
2020-12-12,NA,13,NA,NA,NA,9,NA,6,14,15,26,35,31,18,32
2020-12-13,7,19,6,NA,NA,17,7,11,25,15,40,49,46,27,46
2020-12-14,14,40,5,NA,NA,31,14,9,42,37,69,112,100,57,113
2020-12-15,6,36,5,NA,NA,14,6,6,40,32,56,90,88,33,91
2020-12-16,7,38,7,NA,NA,24,7,8,41,24,66,98,89,28,120
2020-12-17,10,35,5,NA,NA,16,10,8,40,35,65,97,71,43,92
2020-12-18,12,29,5,NA,NA,19,12,11,32,19,59,69,62,35,72
2020-12-19,6,18,NA,NA,NA,10,6,6,18,13,34,41,33,19,39
2020-12-20,5,21,NA,NA,NA,16,5,5,24,8,33,41,34,20,40
2020-12-21,10,37,9,NA,5,16,10,14,39,24,62,94,75,36,93
2020-12-22,5,36,NA,NA,NA,11,5,5,39,23,53,79,60,22,85
2020-12-23,NA,36,NA,NA,NA,12,NA,6,38,14,46,79,65,22,83
2020-12-24,NA,22,NA,NA,NA,18,NA,7,23,17,43,48,40,19,53
2020-12-25,9,19,5,NA,NA,10,9,6,20,13,33,44,42,22,47
2020-12-26,NA,17,NA,NA,NA,10,NA,5,20,10,36,44,34,19,41
2020-12-27,10,21,6,NA,NA,9,10,7,22,13,38,46,38,20,50
2020-12-28,5,31,7,NA,NA,24,5,11,35,21,54,85,78,39,95
2020-12-29,NA,44,5,NA,NA,19,NA,10,48,21,57,88,67,32,81
2020-12-30,5,23,7,NA,NA,22,5,11,24,20,57,58,59,31,74
2020-12-31,11,26,7,NA,NA,14,12,14,28,9,55,55,50,34,57
2021-01-01,NA,14,NA,NA,NA,11,NA,NA,15,10,33,36,29,14,37
2021-01-02,7,16,6,NA,NA,11,7,12,18,10,33,35,37,24,40
2021-01-03,6,21,5,NA,NA,15,6,8,23,11,39,44,41,22,50
2021-01-04,10,48,7,NA,NA,25,10,10,57,26,86,114,112,42,110
2021-01-05,NA,34,NA,NA,NA,18,NA,NA,41,16,64,94,91,33,100
2021-01-06,14,46,9,NA,NA,29,14,15,56,31,78,110,103,48,120
2021-01-07,9,44,10,NA,NA,13,9,14,46,27,66,96,87,44,99
2021-01-08,6,38,5,NA,NA,13,6,11,41,12,54,80,60,23,84
2021-01-09,NA,15,NA,NA,NA,7,NA,NA,16,13,22,27,30,9,44
2021-01-10,NA,22,NA,NA,NA,8,NA,6,22,12,30,43,38,13,40
2021-01-11,NA,57,NA,NA,NA,31,NA,7,60,22,81,120,126,48,124
2021-01-12,NA,34,5,NA,NA,15,NA,10,38,23,63,99,81,43,106
2021-01-13,8,41,6,NA,NA,28,8,8,45,28,72,102,94,40,110
2021-01-14,9,46,7,NA,NA,23,9,11,47,25,68,98,99,37,111
2021-01-15,NA,30,NA,NA,NA,13,NA,NA,34,30,56,74,62,25,79
2021-01-16,NA,10,NA,NA,NA,5,NA,NA,12,9,22,30,23,10,29
2021-01-17,NA,19,NA,NA,NA,9,NA,NA,20,8,48,50,42,24,67
2021-01-18,NA,49,5,NA,NA,26,NA,9,54,22,77,113,90,43,110
2021-01-19,NA,40,NA,NA,NA,14,NA,7,45,21,69,96,98,39,106
2021-01-20,6,40,NA,NA,NA,22,6,6,44,28,69,94,96,41,118
2021-01-21,8,49,8,NA,NA,28,9,10,53,31,67,112,92,41,106
2021-01-22,NA,25,NA,NA,NA,14,NA,5,27,10,58,63,54,27,81
2021-01-23,NA,19,5,NA,NA,11,NA,11,20,12,36,44,36,22,43
2021-01-24,NA,23,NA,NA,NA,NA,NA,6,25,10,34,45,38,20,38
2021-01-25,NA,48,7,NA,NA,25,NA,12,60,31,77,125,117,45,137
2021-01-26,NA,50,NA,NA,NA,21,NA,7,54,44,71,122,113,43,125
2021-01-27,NA,48,8,NA,NA,17,NA,12,51,33,64,105,81,48,116
2021-01-28,NA,40,NA,NA,NA,11,NA,6,43,20,55,73,69,33,87
2021-01-29,NA,32,NA,NA,NA,13,NA,NA,35,31,68,88,82,30,101
2021-01-30,NA,15,NA,NA,NA,7,NA,NA,16,6,22,31,31,16,33
2021-01-31,5,14,NA,NA,NA,9,5,NA,16,5,40,45,36,21,47
2021-02-01,NA,48,6,NA,NA,16,NA,9,54,26,72,124,100,46,136
2021-02-02,NA,35,5,NA,NA,17,NA,9,42,30,71,92,85,31,116
2021-02-03,NA,42,NA,NA,NA,20,NA,6,43,24,75,93,88,33,110
2021-02-04,NA,48,NA,NA,NA,16,NA,NA,50,23,73,107,81,23,106
2021-02-05,NA,25,NA,NA,NA,13,NA,9,26,19,54,64,64,29,80
2021-02-06,NA,9,6,NA,NA,5,NA,8,9,10,30,31,28,17,41
2021-02-07,NA,12,NA,NA,NA,16,NA,7,14,10,37,38,34,22,50
2021-02-08,NA,42,NA,NA,NA,16,NA,10,46,24,67,97,94,41,116
2021-02-09,7,34,6,NA,NA,24,7,10,38,30,60,93,78,30,80
2021-02-10,5,35,NA,NA,NA,19,5,5,38,20,69,83,75,34,106
2021-02-11,NA,50,7,NA,NA,16,NA,11,52,30,69,108,81,31,97
2021-02-12,NA,33,NA,NA,NA,18,NA,6,35,22,54,76,72,22,74
2021-02-13,NA,17,NA,NA,NA,8,NA,NA,19,8,35,42,30,14,32
2021-02-14,NA,18,5,NA,NA,8,NA,6,22,9,29,38,35,15,47
2021-02-15,NA,44,6,NA,NA,19,NA,11,49,18,70,101,95,45,113
2021-02-16,NA,51,NA,NA,NA,28,NA,7,52,33,79,114,105,46,116
2021-02-17,NA,47,NA,NA,NA,19,NA,12,52,18,67,105,85,41,108
2021-02-18,NA,45,NA,NA,NA,21,NA,5,46,24,71,102,84,34,110
2021-02-19,NA,25,NA,NA,NA,10,NA,NA,26,14,44,60,54,20,67
2021-02-20,NA,15,NA,NA,NA,5,NA,6,16,NA,28,26,20,13,39
2021-02-21,NA,19,NA,NA,NA,12,NA,6,21,12,32,38,32,16,48
2021-02-22,5,44,6,NA,NA,23,5,11,48,29,92,113,108,50,125
2021-02-23,NA,44,NA,NA,NA,14,NA,NA,47,28,78,111,107,32,119
2021-02-24,NA,49,NA,NA,NA,14,NA,7,51,28,70,105,90,39,122
2021-02-25,5,47,5,NA,NA,19,5,8,49,33,68,101,93,37,115
2021-02-26,NA,23,NA,NA,NA,11,NA,5,24,15,46,58,59,28,69
2021-02-27,NA,17,NA,NA,NA,8,NA,6,19,14,40,44,34,16,49
2021-02-28,NA,16,NA,NA,NA,NA,NA,NA,18,9,37,42,32,15,51
2021-03-01,NA,45,NA,NA,NA,15,NA,NA,50,24,57,107,92,28,132
2021-03-02,NA,50,6,NA,NA,23,NA,12,59,33,84,130,113,43,137
2021-03-03,NA,46,5,NA,NA,20,NA,8,47,30,75,108,105,41,127
2021-03-04,NA,38,7,NA,NA,16,NA,8,42,31,80,98,90,41,109
2021-03-05,NA,38,NA,NA,NA,15,NA,6,43,27,60,87,84,31,92
2021-03-06,NA,10,5,NA,NA,8,NA,8,14,11,32,39,26,23,36
2021-03-07,NA,17,NA,NA,NA,12,NA,7,17,18,58,52,38,27,55
2021-03-08,NA,52,NA,NA,NA,22,NA,9,58,27,84,116,108,40,141
2021-03-09,NA,48,NA,NA,NA,15,NA,6,52,32,77,118,105,37,116
2021-03-10,NA,45,5,NA,NA,19,NA,9,51,28,67,96,93,39,122
2021-03-11,NA,35,NA,NA,NA,12,NA,13,38,31,62,93,83,48,115
2021-03-12,NA,33,NA,NA,NA,13,NA,13,34,28,71,78,80,38,111
2021-03-13,NA,11,6,NA,NA,NA,NA,7,13,13,34,39,33,21,41
2021-03-14,NA,11,NA,NA,NA,11,NA,6,13,12,33,39,37,19,36
2021-03-15,5,35,NA,NA,NA,24,5,8,37,22,62,95,96,43,125
2021-03-16,5,41,NA,NA,NA,16,5,9,46,39,76,110,93,39,109
2021-03-17,NA,37,5,NA,NA,16,NA,6,43,16,64,84,72,37,110
2021-03-18,NA,24,7,NA,NA,12,NA,12,29,17,63,87,80,34,97
2021-03-19,NA,26,NA,NA,NA,14,NA,8,31,26,68,72,67,28,95
2021-03-20,NA,16,NA,NA,NA,13,NA,5,19,11,52,43,40,23,48
2021-03-21,NA,17,NA,NA,NA,10,NA,5,17,20,37,47,44,11,58
2021-03-22,NA,34,NA,NA,NA,18,NA,7,38,35,79,115,101,45,122
2021-03-23,NA,39,NA,NA,NA,19,NA,13,43,28,72,111,95,37,114
2021-03-24,NA,43,NA,NA,NA,16,NA,9,49,37,80,103,91,36,123
2021-03-25,NA,38,NA,NA,NA,15,NA,5,42,22,57,98,70,42,102
2021-03-26,NA,35,NA,NA,NA,11,NA,5,37,25,67,78,67,32,82
2021-03-27,NA,12,5,NA,NA,10,NA,7,15,8,34,36,33,21,38
2021-03-28,NA,18,NA,NA,NA,7,NA,6,23,11,40,38,36,23,41
2021-03-29,NA,46,NA,NA,NA,16,NA,NA,53,26,74,111,93,27,133
2021-03-30,9,48,6,NA,NA,26,9,12,48,33,80,110,109,43,113
2021-03-31,NA,39,NA,NA,NA,18,NA,5,40,20,71,89,87,30,105
2021-04-01,NA,37,5,NA,NA,16,NA,7,39,29,68,85,82,26,95
2021-04-02,NA,15,NA,NA,NA,11,NA,NA,15,8,36,33,32,16,44
2021-04-03,6,17,NA,NA,NA,NA,6,5,17,13,40,50,38,28,59
2021-04-04,NA,19,5,NA,NA,10,NA,5,19,13,40,45,42,18,44
2021-04-05,NA,23,NA,NA,NA,13,NA,6,26,10,41,48,50,20,53
2021-04-06,NA,53,NA,NA,NA,13,NA,NA,54,24,65,105,97,31,113
2021-04-07,NA,44,NA,NA,NA,20,NA,7,46,29,69,100,101,33,99
2021-04-08,6,34,5,NA,NA,20,6,11,37,31,63,101,85,43,118
2021-04-09,5,34,NA,NA,NA,19,5,6,35,30,62,86,73,36,76
2021-04-10,NA,10,NA,NA,NA,15,NA,5,14,16,36,38,38,20,40
2021-04-11,6,26,5,NA,NA,18,6,9,29,20,44,62,51,26,68
2021-04-12,6,40,NA,NA,NA,17,7,6,44,23,77,104,93,48,113
2021-04-13,NA,46,NA,NA,NA,20,NA,NA,46,20,64,98,80,41,114
2021-04-14,NA,41,NA,NA,NA,8,NA,NA,47,26,67,94,82,31,110
2021-04-15,NA,32,6,NA,NA,23,NA,11,39,30,75,94,93,39,110
2021-04-16,NA,34,NA,NA,NA,14,NA,6,43,27,65,77,63,22,82
2021-04-17,NA,12,NA,NA,NA,5,NA,5,16,20,32,40,34,23,48
2021-04-18,NA,20,5,NA,NA,13,5,7,22,17,35,51,44,16,50
2021-04-19,NA,52,6,NA,NA,21,NA,8,61,36,88,120,120,40,137
2021-04-20,NA,41,6,NA,NA,20,NA,11,46,26,63,96,84,35,94
2021-04-21,5,33,NA,NA,NA,11,5,9,35,19,71,91,90,32,108
2021-04-22,5,54,NA,NA,NA,18,5,13,55,31,59,103,88,35,98
2021-04-23,NA,43,8,NA,NA,23,NA,13,43,30,71,86,83,41,106
2021-04-24,NA,14,5,NA,NA,9,NA,5,15,12,46,38,33,20,45
2021-04-25,NA,26,NA,NA,NA,7,NA,6,27,18,38,52,39,18,55
2021-04-26,6,56,5,NA,NA,22,6,9,58,30,58,113,103,35,118
2021-04-27,NA,43,6,NA,NA,13,NA,12,47,19,68,108,89,44,102
2021-04-28,NA,46,NA,NA,NA,14,NA,7,49,25,74,97,78,35,114
2021-04-29,NA,48,NA,NA,NA,14,NA,6,49,30,79,100,87,31,98
2021-04-30,5,38,6,NA,NA,15,5,7,40,21,59,84,73,29,93
2021-05-01,6,12,NA,NA,NA,9,6,7,13,6,34,34,27,15,38
2021-05-02,NA,24,NA,NA,NA,8,NA,7,27,11,35,54,49,24,58
2021-05-03,NA,54,6,NA,NA,31,NA,10,62,42,97,125,118,38,141
2021-05-04,NA,41,NA,NA,NA,21,NA,5,47,32,58,101,97,35,108
2021-05-05,NA,37,NA,NA,NA,11,NA,5,39,24,63,88,72,30,101
2021-05-06,NA,37,6,NA,NA,14,NA,9,41,30,66,100,79,39,95
2021-05-07,NA,28,6,NA,NA,16,NA,11,32,15,64,75,71,39,81
2021-05-08,NA,17,NA,NA,NA,6,NA,NA,18,8,36,45,36,16,37
2021-05-09,NA,24,NA,NA,NA,7,NA,7,28,11,47,48,34,20,48
2021-05-10,NA,59,NA,NA,NA,26,NA,8,60,42,80,135,117,43,130
2021-05-11,NA,50,6,NA,NA,18,NA,9,56,29,84,118,101,37,124
2021-05-12,NA,41,NA,NA,NA,16,NA,NA,45,38,66,94,81,28,97
2021-05-13,NA,18,NA,NA,NA,8,NA,NA,21,9,37,40,35,14,42
2021-05-14,NA,35,6,NA,NA,15,NA,14,42,32,55,92,89,35,107
2021-05-15,NA,20,NA,NA,NA,5,NA,NA,20,9,29,36,25,15,50
2021-05-16,NA,18,NA,NA,NA,11,NA,7,20,11,35,50,46,20,45
2021-05-17,NA,53,5,NA,NA,28,5,12,60,35,76,132,112,42,123
2021-05-18,NA,41,NA,NA,NA,20,NA,8,48,37,85,114,108,48,124
2021-05-19,NA,39,8,NA,NA,14,5,9,41,31,72,102,86,33,110
2021-05-20,NA,56,NA,NA,NA,16,NA,7,60,30,74,121,96,34,113
2021-05-21,NA,34,NA,NA,NA,12,NA,6,36,22,60,75,64,27,78
2021-05-22,NA,23,NA,NA,NA,13,NA,9,27,16,43,56,50,22,50
2021-05-23,NA,14,NA,NA,NA,10,NA,NA,14,7,34,29,31,18,37
2021-05-24,NA,21,NA,NA,NA,10,NA,NA,24,16,31,47,40,24,45
2021-05-25,NA,54,5,NA,NA,25,NA,8,57,33,73,124,109,48,125
2021-05-26,NA,36,NA,NA,NA,24,NA,NA,37,20,53,88,94,31,97
2021-05-27,NA,42,NA,NA,NA,19,NA,NA,43,33,60,97,92,30,107
2021-05-28,NA,41,NA,NA,NA,12,NA,6,45,24,62,95,68,31,90
2021-05-29,NA,13,NA,NA,NA,6,NA,NA,14,14,20,34,28,15,30
2021-05-30,NA,12,NA,NA,NA,6,NA,6,12,9,28,46,31,19,46
2021-05-31,NA,52,NA,NA,NA,20,NA,9,59,24,77,114,100,45,122
2021-06-01,NA,47,NA,NA,NA,23,NA,5,50,35,69,111,100,38,115
2021-06-02,NA,45,NA,NA,NA,22,NA,10,49,28,74,112,89,33,117
2021-06-03,NA,28,NA,NA,NA,14,NA,NA,29,26,55,79,72,22,88
2021-06-04,NA,33,NA,NA,NA,18,NA,7,34,31,57,86,74,24,111
2021-06-05,NA,16,NA,NA,NA,10,NA,NA,16,12,31,39,30,14,45
2021-06-06,NA,20,NA,NA,NA,9,NA,6,22,10,41,52,46,22,55
2021-06-07,NA,58,6,NA,NA,20,NA,9,59,40,87,124,109,44,142
2021-06-08,NA,40,NA,NA,NA,21,NA,7,40,36,75,107,102,36,107
2021-06-09,NA,37,NA,NA,NA,14,NA,8,41,27,75,100,88,31,119
2021-06-10,NA,34,NA,NA,NA,17,NA,8,35,19,61,93,79,32,102
2021-06-11,NA,32,5,NA,NA,18,NA,9,37,26,66,93,77,34,101
2021-06-12,NA,21,8,NA,NA,6,NA,9,25,16,40,45,32,21,42
2021-06-13,NA,17,NA,NA,NA,11,NA,NA,18,20,45,57,46,19,55
2021-06-14,NA,60,7,NA,NA,22,NA,13,64,40,91,129,112,47,123
2021-06-15,NA,48,NA,NA,NA,20,NA,8,50,21,65,96,98,32,110
2021-06-16,NA,43,5,NA,NA,21,NA,12,45,23,66,103,91,31,104
2021-06-17,NA,57,6,NA,NA,18,NA,10,57,29,68,105,87,38,100
2021-06-18,NA,37,NA,NA,NA,16,NA,9,39,22,57,94,71,34,83
2021-06-19,NA,10,NA,NA,NA,13,NA,5,11,9,32,30,32,19,32
2021-06-20,NA,17,NA,NA,NA,10,NA,NA,19,12,43,38,35,17,49
2021-06-21,NA,54,NA,NA,NA,24,NA,8,57,35,86,128,112,35,138
2021-06-22,NA,49,6,NA,NA,20,NA,8,51,33,69,102,100,38,110
2021-06-23,NA,50,NA,NA,NA,16,NA,6,54,17,55,99,84,27,107
2021-06-24,NA,38,NA,NA,NA,15,NA,NA,39,22,66,92,80,24,95
2021-06-25,NA,38,NA,NA,NA,18,NA,6,40,21,62,83,77,25,95
2021-06-26,NA,15,NA,NA,NA,10,NA,5,15,5,29,31,29,15,32
2021-06-27,NA,18,7,NA,NA,7,NA,8,18,14,38,49,41,18,46
2021-06-28,NA,63,NA,NA,NA,22,NA,7,66,38,85,124,114,39,129
2021-06-29,NA,40,NA,NA,NA,21,NA,9,43,30,59,95,85,37,100
2021-06-30,NA,51,6,NA,NA,18,NA,12,52,28,75,109,93,33,96
2021-07-01,NA,42,NA,NA,NA,16,NA,NA,45,20,51,96,83,33,88
2021-07-02,NA,31,6,NA,NA,14,NA,7,32,16,54,76,68,30,84
2021-07-03,NA,11,NA,NA,NA,11,NA,NA,11,12,31,30,29,18,40
2021-07-04,NA,23,NA,NA,NA,14,NA,6,25,20,34,51,46,13,55
2021-07-05,NA,60,5,NA,NA,27,NA,9,67,37,83,119,132,46,128
2021-07-06,NA,52,6,NA,NA,25,NA,13,58,37,76,119,111,35,112
2021-07-07,NA,40,NA,NA,NA,26,NA,8,41,29,75,106,90,32,105
2021-07-08,NA,40,NA,NA,NA,17,NA,6,45,37,65,104,89,34,93
2021-07-09,NA,32,NA,NA,NA,17,NA,7,36,28,44,70,74,27,75
2021-07-10,NA,18,NA,NA,NA,7,NA,NA,19,6,33,35,33,18,46
2021-07-11,NA,12,NA,NA,NA,16,NA,5,13,21,41,39,45,17,50
2021-07-12,NA,50,NA,NA,NA,18,NA,10,54,32,79,107,105,37,110
2021-07-13,NA,35,8,NA,NA,17,NA,11,36,35,63,103,82,29,115
2021-07-14,NA,39,NA,NA,NA,12,NA,7,41,23,75,97,83,30,102
2021-07-15,NA,47,6,NA,NA,17,NA,10,50,36,62,104,93,37,92
2021-07-16,NA,33,6,NA,NA,11,NA,11,35,22,51,79,54,30,71
2021-07-17,NA,20,NA,NA,NA,11,NA,8,20,9,43,52,41,22,45
2021-07-18,NA,15,NA,NA,NA,12,NA,NA,18,7,32,33,35,9,30
2021-07-19,NA,48,7,NA,NA,26,NA,8,51,28,75,113,109,39,109
2021-07-20,NA,41,NA,NA,NA,15,NA,NA,44,27,68,101,77,26,94
2021-07-21,NA,31,NA,NA,NA,18,NA,5,38,28,63,94,77,28,103
2021-07-22,NA,40,6,NA,NA,20,NA,10,42,24,66,93,83,38,92
2021-07-23,NA,36,11,NA,NA,19,NA,15,39,34,72,94,85,43,102
2021-07-24,NA,14,NA,NA,NA,10,NA,NA,14,11,35,31,31,15,39
2021-07-25,NA,20,NA,NA,NA,7,NA,NA,23,17,39,48,40,17,41
2021-07-26,NA,37,NA,NA,NA,15,NA,9,49,42,83,112,93,44,126
2021-07-27,NA,33,NA,NA,NA,28,NA,10,35,30,59,96,94,34,109
2021-07-28,NA,39,NA,NA,NA,15,NA,8,39,31,63,86,80,33,91
2021-07-29,NA,49,6,NA,NA,16,NA,8,54,32,57,103,72,30,92
2021-07-30,NA,26,NA,NA,NA,18,NA,7,26,27,54,75,76,29,98
2021-07-31,NA,11,5,NA,NA,9,NA,6,12,18,35,47,31,19,36
2021-08-01,NA,9,NA,NA,NA,9,NA,NA,11,9,32,37,30,18,43
2021-08-02,NA,32,8,NA,NA,21,NA,11,36,31,73,93,91,47,108
2021-08-03,NA,40,9,NA,NA,22,NA,12,42,38,75,107,95,43,104
2021-08-04,NA,53,NA,NA,NA,17,NA,6,59,27,75,117,88,36,114
2021-08-05,NA,37,NA,NA,NA,17,NA,12,37,24,68,86,72,32,86
2021-08-06,NA,30,5,NA,NA,14,NA,5,30,30,53,72,61,24,83
2021-08-07,NA,10,NA,NA,NA,8,NA,NA,10,5,31,29,22,15,27
2021-08-08,NA,21,NA,NA,NA,10,NA,NA,22,17,36,50,46,22,43
2021-08-09,NA,41,NA,NA,NA,16,NA,NA,47,35,71,112,109,46,125
2021-08-10,NA,48,6,NA,NA,26,NA,8,53,33,60,110,94,33,101
2021-08-11,NA,47,NA,NA,NA,24,NA,12,52,33,71,107,108,49,127
2021-08-12,NA,42,5,NA,NA,18,5,6,43,24,60,95,71,29,88
2021-08-13,NA,33,8,NA,NA,18,NA,12,36,29,58,82,69,31,64
2021-08-14,NA,19,NA,NA,NA,10,NA,7,20,9,30,45,44,19,37
2021-08-15,NA,19,6,NA,NA,9,NA,9,22,15,45,52,42,31,50
2021-08-16,NA,54,11,NA,NA,34,5,16,55,41,69,126,111,50,123
2021-08-17,5,43,10,NA,NA,27,5,16,45,32,71,98,101,44,110
2021-08-18,NA,37,5,NA,NA,13,NA,6,39,22,55,85,76,23,105
2021-08-19,8,35,10,NA,NA,30,8,15,35,34,65,100,93,42,89
2021-08-20,NA,40,6,NA,NA,23,NA,7,46,29,64,91,93,42,93
2021-08-21,NA,14,NA,NA,NA,11,NA,5,15,9,27,31,26,12,42
2021-08-22,6,20,NA,NA,NA,20,6,7,23,10,41,45,42,20,55
2021-08-23,6,32,7,NA,NA,27,6,9,34,32,75,106,109,44,108
2021-08-24,6,46,8,NA,NA,33,6,9,50,32,76,116,120,48,109
2021-08-25,NA,40,NA,NA,NA,18,NA,NA,47,29,62,101,80,24,123
2021-08-26,5,35,9,NA,NA,22,5,14,38,32,70,89,78,47,92
2021-08-27,6,28,9,NA,NA,18,6,12,32,27,48,74,72,38,72
2021-08-28,NA,15,NA,NA,NA,5,NA,NA,16,NA,30,37,28,12,39
2021-08-29,NA,20,7,NA,NA,11,NA,9,20,9,43,43,35,23,36
2021-08-30,5,50,7,NA,NA,25,5,10,55,37,69,113,110,37,108
2021-08-31,NA,43,7,NA,NA,18,NA,11,46,21,63,92,90,47,93
2021-09-01,NA,43,7,NA,NA,15,NA,10,45,28,71,98,92,42,102
2021-09-02,5,44,6,NA,NA,24,5,9,46,26,72,92,87,24,102
2021-09-03,NA,37,6,NA,NA,22,NA,12,38,31,67,82,76,40,97
2021-09-04,7,18,11,NA,NA,17,7,17,19,11,49,38,42,29,53
2021-09-05,NA,13,NA,NA,NA,10,5,5,15,8,31,33,27,19,30
2021-09-06,7,56,8,NA,NA,24,8,14,62,37,70,133,114,55,124
2021-09-07,7,38,NA,NA,5,25,7,9,45,36,76,107,91,40,129
2021-09-08,NA,38,NA,NA,NA,14,NA,5,42,32,70,92,87,38,84
2021-09-09,NA,36,NA,NA,NA,18,NA,11,38,31,69,103,91,39,102
2021-09-10,NA,35,6,NA,NA,23,NA,11,39,32,68,89,76,39,87
2021-09-11,NA,23,5,NA,NA,8,NA,6,25,13,34,44,43,13,42
2021-09-12,NA,17,5,NA,NA,9,NA,9,19,10,41,49,31,25,50
2021-09-13,NA,44,NA,NA,NA,21,NA,10,48,35,80,117,109,38,118
2021-09-14,5,46,7,NA,NA,19,5,9,46,29,62,99,89,42,111
2021-09-15,NA,32,5,NA,NA,17,NA,9,34,22,71,93,86,36,96
2021-09-16,NA,47,NA,NA,NA,15,NA,5,52,35,63,94,88,35,89
2021-09-17,NA,36,7,NA,NA,15,NA,10,37,27,65,86,70,36,79
2021-09-18,NA,15,NA,NA,NA,10,NA,NA,18,11,37,32,34,10,35
2021-09-19,NA,15,NA,NA,NA,11,NA,NA,16,10,33,38,33,23,45
2021-09-20,NA,45,NA,NA,NA,20,NA,7,57,34,69,116,102,35,122
2021-09-21,NA,45,7,NA,NA,15,NA,13,49,29,58,99,84,36,96
2021-09-22,5,37,8,NA,NA,22,7,12,43,28,66,104,94,37,114
2021-09-23,NA,39,5,NA,NA,11,NA,7,45,19,54,89,76,23,91
2021-09-24,NA,37,5,NA,NA,14,NA,8,42,31,62,99,73,41,96
2021-09-25,NA,21,5,NA,NA,10,NA,7,24,13,42,49,34,20,44
2021-09-26,NA,23,6,NA,NA,18,NA,9,24,18,44,56,56,27,58
2021-09-27,NA,48,9,NA,NA,24,5,11,51,41,70,120,107,44,108
2021-09-28,NA,38,5,NA,NA,16,NA,7,41,30,66,90,68,30,95
2021-09-29,NA,53,NA,NA,NA,18,NA,7,55,24,62,109,97,31,106
2021-09-30,NA,27,8,NA,NA,17,NA,12,30,26,58,74,64,30,81
2021-10-01,NA,34,6,NA,NA,19,NA,10,38,22,67,79,77,32,104
2021-10-02,NA,13,NA,NA,NA,11,NA,NA,13,18,38,41,42,15,48
2021-10-03,NA,19,8,NA,NA,16,NA,9,20,12,38,52,43,18,42
2021-10-04,NA,44,NA,NA,NA,26,NA,8,47,29,75,109,92,42,113
