number_xy,number_combination_features,name_data_set,number_combination_kNp,k,N,p,group_dates_train_test,number_dates_train_test,rmse_train,rmse_test,number_hyp_par_grid_lstm,nlayers,nneurons_one,nneurons_two,act_function_one,act_function_two,optimizer,learning_rate,loss_function,nepochs
001,010,base,019,21,7,28,002,002,1.0928965811441476,50.34040454191109,001,2,32,8,relu,relu,adam,0.005,mse,50
001,010,base,020,21,7,35,002,002,1.1000985870668305,49.57818734777291,001,2,32,16,relu,relu,adam,0.005,mse,50
001,010,base,021,28,7,7,002,002,1.0066170091782856,49.93950665926565,001,2,16,32,relu,relu,adam,0.005,mse,100
001,010,base,022,28,7,14,002,002,0.9699386669098536,52.07127899224145,001,2,16,16,relu,relu,adam,0.005,mse,100
001,010,base,023,28,7,21,002,002,0.90961043613231,51.2127733669808,001,2,16,16,relu,relu,adam,0.005,mse,100
001,010,base,024,28,7,28,002,002,1.1714472911921312,52.28830237489743,001,2,16,8,relu,relu,adam,0.005,mse,50
001,010,base,025,28,7,35,002,002,1.4589224175211744,54.41184789057025,001,2,32,8,relu,relu,adam,0.002,mse,10
001,010,base,001,0,7,7,002,003,10.819759397707292,8.748151576081009,001,1,64,0,relu,none,adam,0.001,mse,10
001,010,base,002,0,7,14,002,003,14.26793932029783,6.8068280489259765,001,1,64,0,relu,none,adam,0.001,mse,10
001,010,base,003,0,7,21,002,003,22.949150392765628,5.276141663799351,001,2,64,16,relu,relu,adam,5e-4,mse,10
001,010,base,004,0,7,28,002,003,9.921119938163038,6.148037773169253,001,1,64,0,relu,none,adam,0.001,mse,100
001,010,base,005,0,7,35,002,003,1337.2106952308152,7.485166593009392,001,1,32,0,relu,none,adam,0.002,mse,10
001,010,base,006,7,7,7,002,003,17.450922864950538,6.5791277432246815,001,2,16,16,relu,relu,adam,0.001,mse,50
001,010,base,007,7,7,14,002,003,24.768400434257792,5.308549100303571,001,2,16,8,relu,relu,adam,0.002,mse,10
001,010,base,008,7,7,21,002,003,19.701374527934142,5.371563658017864,001,2,16,8,relu,relu,adam,0.005,mse,10
001,010,base,009,7,7,28,002,003,79.56019317635996,6.47824272880121,001,2,64,32,relu,relu,adam,0.001,mse,10
001,010,base,010,7,7,35,002,003,240.9476954868982,5.976224380044902,001,2,16,32,relu,relu,adam,0.001,mse,10
001,010,base,011,14,7,7,002,003,21.193081652811145,8.669817007196515,001,2,16,16,relu,relu,adam,0.005,mse,10
001,010,base,012,14,7,14,002,003,24.31527870078041,7.131775385961464,001,1,16,0,relu,none,adam,5e-4,mse,50
001,010,base,013,14,7,21,002,003,37.18090872778931,5.8919918062879635,001,2,64,8,relu,relu,adam,0.002,mse,10
001,010,base,014,14,7,28,002,003,35.31189067935912,7.957655803498118,001,2,64,8,relu,relu,adam,0.005,mse,100
001,010,base,015,14,7,35,002,003,27.685240158129673,11.133455374120562,001,2,16,16,relu,relu,adam,0.001,mse,10
001,010,base,016,21,7,7,002,003,21.906257006325998,8.970453836880752,001,1,16,0,relu,none,adam,5e-4,mse,100
001,010,base,017,21,7,14,002,003,29.377000237830693,6.621917812772244,001,2,32,32,relu,relu,adam,0.005,mse,10
001,010,base,018,21,7,21,002,003,33.296830839298394,7.2608157322085285,001,2,64,16,relu,relu,adam,0.001,mse,50
001,010,base,019,21,7,28,002,003,30.53397032622538,10.20529360588654,001,1,64,0,relu,none,adam,0.001,mse,50
001,010,base,020,21,7,35,002,003,79.82057181866745,11.831532894976343,001,2,64,32,relu,relu,adam,5e-4,mse,50
001,010,base,021,28,7,7,002,003,22.57031359206314,7.560841968537242,001,2,16,32,relu,relu,adam,5e-4,mse,50
001,010,base,022,28,7,14,002,003,26.856267100647546,5.498931624659342,001,2,32,8,relu,relu,adam,0.002,mse,50
001,010,base,023,28,7,21,002,003,42.46631423039566,9.406019333789098,001,1,64,0,relu,none,adam,5e-4,mse,100
001,010,base,024,28,7,28,002,003,20.30920831719146,11.200428064170607,001,2,64,16,relu,relu,adam,5e-4,mse,100
001,010,base,025,28,7,35,002,003,24.388357480486977,15.229635144751102,001,2,32,16,relu,relu,adam,5e-4,mse,50
001,010,base,001,0,7,7,002,004,9.71273442521878,8.627121945154354,001,2,16,32,relu,relu,adam,0.001,mse,10
001,010,base,002,0,7,14,002,004,11.516959618167915,9.488186164808704,001,2,16,32,relu,relu,adam,5e-4,mse,10
001,010,base,003,0,7,21,002,004,8.532145791148844,8.84732339453411,001,2,64,32,relu,relu,adam,0.005,mse,10
001,010,base,004,0,7,28,002,004,11.125550781060497,7.34045792957142,001,1,64,0,relu,none,adam,0.005,mse,10
001,010,base,005,0,7,35,002,004,10.148422328038839,6.159997863604022,001,2,64,32,relu,relu,adam,0.001,mse,10
001,010,base,006,7,7,7,002,004,14.05917154316556,11.47234164409217,001,2,32,32,relu,relu,adam,5e-4,mse,10
001,010,base,007,7,7,14,002,004,13.287949429134343,12.229036325486371,001,2,16,32,relu,relu,adam,0.001,mse,10
001,010,base,008,7,7,21,002,004,12.710852708665312,10.512583081776986,001,2,64,16,relu,relu,adam,0.005,mse,10
001,010,base,009,7,7,28,002,004,13.87783300484793,7.920589294014696,001,1,64,0,relu,none,adam,0.002,mse,10
001,010,base,010,7,7,35,002,004,13.369475034666973,6.382730155318073,001,2,64,32,relu,relu,adam,0.002,mse,10
001,010,base,011,14,7,7,002,004,17.139864843054472,13.85894220595216,001,2,16,32,relu,relu,adam,0.001,mse,10
001,010,base,012,14,7,14,002,004,11.141114583405358,13.893028178257525,001,2,64,8,relu,relu,adam,5e-4,mse,100
001,010,base,013,14,7,21,002,004,14.931735147812017,11.152229063085233,001,1,16,0,relu,none,adam,0.002,mse,50
001,010,base,014,14,7,28,002,004,16.357711876438945,6.986419680052323,001,2,64,16,relu,relu,adam,5e-4,mse,50
001,010,base,015,14,7,35,002,004,17.37581730827139,9.517895222773358,001,1,64,0,relu,none,adam,5e-4,mse,50
001,010,base,016,21,7,7,002,004,19.895413819606873,16.747619509363602,001,2,16,32,relu,relu,adam,0.001,mse,10
001,010,base,017,21,7,14,002,004,18.777973059898468,17.15477529793876,001,2,32,16,relu,relu,adam,0.001,mse,10
001,010,base,018,21,7,21,002,004,18.74345257683694,16.706595605533934,001,1,32,0,relu,none,adam,5e-4,mse,50
001,010,base,019,21,7,28,002,004,16.813831048447035,17.40681717833935,001,2,64,8,relu,relu,adam,0.001,mse,10
001,010,base,020,21,7,35,002,004,17.60347498841732,17.44358874374958,001,1,64,0,relu,none,adam,5e-4,mse,50
001,010,base,021,28,7,7,002,004,21.292519866006824,18.58475543052602,001,2,16,32,relu,relu,adam,0.001,mse,10
001,010,base,022,28,7,14,002,004,20.82289807170414,19.309267482480244,001,2,16,16,relu,relu,adam,0.001,mse,10
001,010,base,023,28,7,21,002,004,21.05179393749795,20.25947221772565,001,2,16,8,relu,relu,adam,0.001,mse,10
001,010,base,024,28,7,28,002,004,16.708327197191295,20.29104309272119,001,2,64,32,relu,relu,adam,0.001,mse,10
001,010,base,025,28,7,35,002,004,12.605265958695158,14.916950812090517,001,1,64,0,relu,none,adam,5e-4,mse,100
001,010,base,001,0,7,7,002,005,9.867876928069226,9.093917989448975,001,2,32,32,relu,relu,adam,5e-4,mse,10
001,010,base,002,0,7,14,002,005,10.299514193442732,10.932578904887883,001,2,16,32,relu,relu,adam,5e-4,mse,10
001,010,base,003,0,7,21,002,005,12.672170706140385,13.23122408738319,001,2,16,16,relu,relu,adam,5e-4,mse,10
001,010,base,004,0,7,28,002,005,6.213127110558552,14.614796898726382,001,2,16,32,relu,relu,adam,0.005,mse,10
001,010,base,005,0,7,35,002,005,7.941034074522618,14.966053787376186,001,2,64,8,relu,relu,adam,0.005,mse,10
001,010,base,006,7,7,7,002,005,13.148674644204055,12.655301198976511,001,2,32,32,relu,relu,adam,5e-4,mse,10
001,010,base,007,7,7,14,002,005,5.67028537486676,13.051910576584373,001,2,64,32,relu,relu,adam,0.005,mse,50
001,010,base,008,7,7,21,002,005,5.132714604810934,13.488868377173189,001,2,64,8,relu,relu,adam,0.005,mse,100
001,010,base,009,7,7,28,002,005,4.6564852041166525,15.919727434322382,001,2,64,32,relu,relu,adam,5e-4,mse,50
001,010,base,010,7,7,35,002,005,4.199311179895314,15.921798319321708,001,2,32,16,relu,relu,adam,0.001,mse,100
001,010,base,011,14,7,7,002,005,6.541531158916796,12.867498446456223,001,2,64,32,relu,relu,adam,0.005,mse,100
001,010,base,012,14,7,14,002,005,5.087261716835643,13.277982811310336,001,2,64,32,relu,relu,adam,0.005,mse,100
001,010,base,013,14,7,21,002,005,4.352598969007835,15.040240391652388,001,2,32,32,relu,relu,adam,0.005,mse,100
001,010,base,014,14,7,28,002,005,3.9585265142938475,15.88039320187389,001,2,64,8,relu,relu,adam,5e-4,mse,100
001,010,base,015,14,7,35,002,005,6.086102849989375,16.400232836149367,001,2,16,8,relu,relu,adam,0.005,mse,50
001,010,base,016,21,7,7,002,005,19.911714810006693,15.434342631410676,001,2,16,8,relu,relu,adam,5e-4,mse,10
001,010,base,017,21,7,14,002,005,7.247659440943427,17.060996261764043,001,2,64,8,relu,relu,adam,5e-4,mse,50
001,010,base,018,21,7,21,002,005,18.335493670759583,17.423780972471075,001,2,16,8,relu,relu,adam,0.001,mse,10
001,010,base,019,21,7,28,002,005,20.179721655587564,18.170529428147177,001,2,16,16,relu,relu,adam,5e-4,mse,10
001,010,base,020,21,7,35,002,005,10.42863485458239,14.435800394737257,001,2,64,32,relu,relu,adam,0.002,mse,10
001,010,base,021,28,7,7,002,005,20.653234974694872,17.36465608869332,001,2,16,32,relu,relu,adam,5e-4,mse,10
001,010,base,022,28,7,14,002,005,20.135570876129965,17.904700878231385,001,2,16,32,relu,relu,adam,5e-4,mse,10
001,010,base,023,28,7,21,002,005,21.098595286423237,18.03641487536684,001,2,16,16,relu,relu,adam,5e-4,mse,10
001,010,base,024,28,7,28,002,005,21.295885979373402,17.834524158000665,001,2,16,8,relu,relu,adam,5e-4,mse,10
001,010,base,025,28,7,35,002,005,10.754963522667728,15.126238942161555,001,1,64,0,relu,none,adam,5e-4,mse,50
001,010,base,001,0,7,7,002,006,9.005662078900482,11.801442286481837,001,2,16,32,relu,relu,adam,0.001,mse,10
001,010,base,002,0,7,14,002,006,7.8216140787122175,13.517070675003174,001,2,16,8,relu,relu,adam,0.005,mse,10
001,010,base,003,0,7,21,002,006,7.937068910155283,15.637874756105663,001,2,32,8,relu,relu,adam,0.005,mse,10
001,010,base,004,0,7,28,002,006,7.316766716774025,17.928230622041983,001,2,16,8,relu,relu,adam,0.005,mse,50
001,010,base,005,0,7,35,002,006,15.748115372334357,22.097064423476752,001,2,16,8,relu,relu,adam,5e-4,mse,10
001,010,base,006,7,7,7,002,006,14.446754658410734,16.015204329666318,001,2,16,8,relu,relu,adam,5e-4,mse,10
001,010,base,007,7,7,14,002,006,14.477853639051933,18.58198789840717,001,2,16,8,relu,relu,adam,5e-4,mse,10
001,010,base,008,7,7,21,002,006,15.92453704632229,20.782651108979188,001,2,16,8,relu,relu,adam,5e-4,mse,10
001,010,base,009,7,7,28,002,006,16.50684021730044,22.6058407352449,001,2,16,16,relu,relu,adam,5e-4,mse,10
001,010,base,010,7,7,35,002,006,17.210832159296043,24.952478521470795,001,2,16,8,relu,relu,adam,5e-4,mse,10
001,010,base,011,14,7,7,002,006,16.78279606924246,20.60330356243387,001,1,16,0,relu,none,adam,5e-4,mse,10
001,010,base,012,14,7,14,002,006,17.299106373728844,21.855052677880785,001,2,16,8,relu,relu,adam,5e-4,mse,10
001,010,base,013,14,7,21,002,006,17.92728443099118,24.586051995051665,001,2,16,8,relu,relu,adam,5e-4,mse,10
001,010,base,014,14,7,28,002,006,18.50243820648169,25.772889379656156,001,2,16,8,relu,relu,adam,5e-4,mse,10
001,010,base,015,14,7,35,002,006,18.56653413750989,28.400225334498344,001,2,16,8,relu,relu,adam,5e-4,mse,10
001,010,base,016,21,7,7,002,006,15.670021715523838,21.9458415247918,001,2,64,8,relu,relu,adam,0.005,mse,10
001,010,base,017,21,7,14,002,006,19.27563650453277,25.313731143607672,001,1,16,0,relu,none,adam,5e-4,mse,10
001,010,base,018,21,7,21,002,006,19.278511433590467,29.13849272580613,001,1,16,0,relu,none,adam,5e-4,mse,10
001,010,base,019,21,7,28,002,006,19.79058644240758,29.68197809454864,001,1,16,0,relu,none,adam,5e-4,mse,10
001,010,base,020,21,7,35,002,006,19.62242629136207,31.935511075464525,001,1,16,0,relu,none,adam,5e-4,mse,10
001,010,base,021,28,7,7,002,006,20.322868023367352,29.23243362235388,001,2,16,8,relu,relu,adam,5e-4,mse,10
001,010,base,022,28,7,14,002,006,19.53707216615127,31.88194239925312,001,2,16,16,relu,relu,adam,5e-4,mse,10
001,010,base,023,28,7,21,002,006,19.462916619788395,33.677808560002696,001,2,16,8,relu,relu,adam,5e-4,mse,10
001,010,base,024,28,7,28,002,006,19.178933185408763,36.28656222248951,001,2,16,16,relu,relu,adam,5e-4,mse,10
001,010,base,025,28,7,35,002,006,18.921484996261835,37.03827963267937,001,2,16,8,relu,relu,adam,5e-4,mse,10
001,010,base,001,0,7,7,002,007,8.689492891404702,13.019804661519315,001,2,16,16,relu,relu,adam,0.005,mse,10
001,010,base,002,0,7,14,002,007,8.83532839301411,15.593702512620654,001,2,64,16,relu,relu,adam,0.001,mse,10
001,010,base,003,0,7,21,002,007,10.165994037215864,20.38139703406326,001,2,64,16,relu,relu,adam,5e-4,mse,10
001,010,base,004,0,7,28,002,007,10.635067839248814,38.26916036636317,001,2,32,16,relu,relu,adam,0.001,mse,10
001,010,base,005,0,7,35,002,007,12.285471350193001,53.92872713075843,001,2,64,16,relu,relu,adam,5e-4,mse,10
