number_xy,number_combination_features,name_data_set,number_combination_kNp,k,N,p,group_dates_train_test,number_dates_train_test,number_hyp_par_grid_lr,rmse_train,rmse_test
001,007,base,001,0,7,7,002,001,001,2.8780638754072747,7.644589229303635
001,007,base,001,0,7,7,002,002,001,3.408959048720687,25.860962378869157
001,007,base,001,0,7,7,002,003,001,8.232945615296494,12.582087221463146
001,007,base,001,0,7,7,002,004,001,8.960221427238976,9.374003901149289
001,007,base,001,0,7,7,002,005,001,9.06784557478693,8.391344632130158
001,007,base,001,0,7,7,002,006,001,8.813483808147222,14.974822249520408
001,007,base,001,0,7,7,002,007,001,9.439499018989501,17.899728670789024
001,007,base,001,0,7,7,002,008,001,10.141686899382954,20.28797279367555
001,007,base,001,0,7,7,002,009,001,11.319602214615811,13.44452695158996
001,007,base,001,0,7,7,002,010,001,11.49530344067167,11.519475792831111
001,007,base,001,0,7,7,002,011,001,11.340733889864506,6.400672231638879
001,007,base,001,0,7,7,002,012,001,11.120899884998595,6.888616267184973
001,007,base,002,0,7,14,002,001,001,3.33584825062987e-14,15.310562412024467
001,007,base,002,0,7,14,002,002,001,2.1764648459182268,36.70274052400068
001,007,base,002,0,7,14,002,003,001,6.789769186910876,12.300312791587988
001,007,base,002,0,7,14,002,004,001,7.689938823269236,11.330518898265122
001,007,base,002,0,7,14,002,005,001,8.445147559117341,8.707517749461886
001,007,base,002,0,7,14,002,006,001,8.264182953093659,15.805249164748204
001,007,base,002,0,7,14,002,007,001,9.006451646644884,35.99851990547025
001,007,base,002,0,7,14,002,008,001,9.887906473883959,18.59973621301092
001,007,base,002,0,7,14,002,009,001,10.848479591098156,13.595435242139969
001,007,base,002,0,7,14,002,010,001,11.080640517299475,13.88138743616428
001,007,base,002,0,7,14,002,011,001,11.037750069687824,7.0982376786274894
001,007,base,002,0,7,14,002,012,001,10.847333798942673,6.5850503237986775
001,007,base,003,0,7,21,002,001,001,5.434412504695686e-14,38.027049070100304
001,007,base,003,0,7,21,002,002,001,1.274891043830928,50.61257288760933
001,007,base,003,0,7,21,002,003,001,5.603654726892726,13.744181475516594
