number_xy,number_combination_features,name_data_set,number_combination_kNp,k,N,p,group_dates_train_test,number_dates_train_test,rmse_train,rmse_test,number_hyp_par_grid_nn,nlayers,nneurons_one,nneurons_two,act_function_one,act_function_two,optimizer,learning_rate,loss_function,nepochs
001,007,base,001,0,7,7,006,001,10.835758712898139,13.858749070078288,003,2,32,32,relu,relu,adam,0.005,mse,50
001,007,base,002,0,7,14,006,001,12.378744738042489,20.31899167928875,003,2,64,32,relu,relu,adam,0.002,mse,50
001,007,base,003,0,7,21,006,001,19.062688729965537,24.586546901471337,003,1,64,0,relu,none,adam,5e-4,mse,50
001,007,base,004,0,7,28,006,001,29.980552418071316,25.652019289984214,003,1,32,0,relu,none,adam,5e-4,mse,10
001,007,base,005,0,7,35,006,001,12.686481981122174,15.785978187343337,003,2,64,16,relu,relu,adam,0.005,mse,50
001,007,base,006,7,7,7,006,001,38.60023547924182,18.12682217732536,003,2,16,8,relu,relu,adam,5e-4,mse,10
001,007,base,007,7,7,14,006,001,35.87199449326932,22.827664801306017,003,2,16,8,relu,relu,adam,5e-4,mse,10
001,007,base,008,7,7,21,006,001,36.4487911625526,24.16245183310795,003,2,16,8,relu,relu,adam,5e-4,mse,10
001,007,base,009,7,7,28,006,001,38.155512734187916,27.99580037159891,003,2,16,16,relu,relu,adam,5e-4,mse,10
001,007,base,010,7,7,35,006,001,15.413770616457725,17.080501967879822,003,1,16,0,relu,none,adam,0.005,mse,50
001,007,base,011,14,7,7,006,001,39.972816811823975,19.72395702692448,003,2,16,8,relu,relu,adam,5e-4,mse,10
001,007,base,012,14,7,14,006,001,39.13251723353547,23.03194596190113,003,2,16,8,relu,relu,adam,5e-4,mse,10
001,007,base,013,14,7,21,006,001,40.374154814097224,28.26013979954145,003,2,16,8,relu,relu,adam,5e-4,mse,10
001,007,base,014,14,7,28,006,001,18.44315667155463,19.33635535341376,003,2,32,8,relu,relu,adam,0.005,mse,50
001,007,base,015,14,7,35,006,001,17.980286398411756,19.073137110931828,003,2,32,32,relu,relu,adam,0.001,mse,50
001,007,base,016,21,7,7,006,001,41.74661233023639,21.52218203431913,003,2,16,8,relu,relu,adam,5e-4,mse,10
001,007,base,017,21,7,14,006,001,41.20197399318785,24.762668051568482,003,2,16,8,relu,relu,adam,5e-4,mse,10
001,007,base,018,21,7,21,006,001,27.37478763595914,25.280015808690862,003,1,32,0,relu,none,adam,0.005,mse,50
001,007,base,019,21,7,28,006,001,21.614620453854332,21.243780048486784,003,2,64,16,relu,relu,adam,0.001,mse,50
001,007,base,020,21,7,35,006,001,20.936713428402783,20.25986484474406,003,2,64,16,relu,relu,adam,0.005,mse,25
001,007,base,021,28,7,7,006,001,44.2296416838357,19.422066865564542,003,1,16,0,relu,none,adam,5e-4,mse,10
001,007,base,022,28,7,14,006,001,34.39545027388681,25.061724799076046,003,2,64,8,relu,relu,adam,0.002,mse,25
001,007,base,023,28,7,21,006,001,24.5197309069187,22.643935679463137,003,2,64,8,relu,relu,adam,0.001,mse,50
001,007,base,024,28,7,28,006,001,22.927136102946143,21.159379847979835,003,2,64,16,relu,relu,adam,5e-4,mse,50
001,007,base,025,28,7,35,006,001,15.923412108418704,22.039093996216955,003,2,16,8,relu,relu,adam,0.002,mse,50
001,007,base,001,0,7,7,006,002,15.3666188661852,11.2731778826826,003,2,16,32,relu,relu,adam,0.005,mse,10
001,007,base,002,0,7,14,006,002,18.347305533748553,13.123759880574012,003,2,16,16,relu,relu,adam,0.002,mse,10
001,007,base,003,0,7,21,006,002,19.94178966246384,14.68228635944267,003,2,32,16,relu,relu,adam,0.001,mse,10
001,007,base,004,0,7,28,006,002,19.011920293549668,15.565909105483033,003,1,64,0,relu,none,adam,5e-4,mse,10
001,007,base,005,0,7,35,006,002,16.067243325979916,15.677752204520367,003,2,16,32,relu,relu,adam,0.005,mse,10
001,007,base,006,7,7,7,006,002,23.932860841935753,16.92979082249569,003,2,32,16,relu,relu,adam,0.002,mse,10
001,007,base,007,7,7,14,006,002,25.275884038168467,19.158162392521664,003,2,16,8,relu,relu,adam,0.005,mse,10
001,007,base,008,7,7,21,006,002,26.143910026433065,20.637506001183706,003,2,16,8,relu,relu,adam,0.002,mse,10
001,007,base,009,7,7,28,006,002,25.668554593650665,21.85200565178858,003,2,16,8,relu,relu,adam,0.002,mse,10
001,007,base,010,7,7,35,006,002,20.09862473117847,23.472953132735064,003,2,16,32,relu,relu,adam,0.005,mse,10
001,007,base,011,14,7,7,006,002,30.754034300809156,21.883008570816973,003,2,32,8,relu,relu,adam,0.001,mse,10
001,007,base,012,14,7,14,006,002,33.55819157757455,22.14763572881347,003,2,16,8,relu,relu,adam,5e-4,mse,10
001,007,base,013,14,7,21,006,002,31.47219915230818,24.437068722149416,003,2,16,8,relu,relu,adam,0.001,mse,10
001,007,base,014,14,7,28,006,002,29.95906116534199,27.59963888208844,003,2,16,8,relu,relu,adam,0.001,mse,10
001,007,base,015,14,7,35,006,002,27.074365913757116,28.62287588693306,003,2,16,32,relu,relu,adam,0.001,mse,10
001,007,base,016,21,7,7,006,002,34.58277932751292,24.924354344310053,003,2,16,8,relu,relu,adam,5e-4,mse,10
001,007,base,017,21,7,14,006,002,34.555860709012556,25.732954068307194,003,2,16,8,relu,relu,adam,5e-4,mse,10
001,007,base,018,21,7,21,006,002,32.99064557619837,28.986940588715026,003,2,16,16,relu,relu,adam,5e-4,mse,10
001,007,base,019,21,7,28,006,002,32.57897268532072,30.576218124320555,003,2,16,8,relu,relu,adam,5e-4,mse,10
001,007,base,020,21,7,35,006,002,27.95096325778333,32.42232018718425,003,2,32,8,relu,relu,adam,5e-4,mse,10
001,007,base,021,28,7,7,006,002,36.152472594959434,27.933091287558184,003,2,16,8,relu,relu,adam,5e-4,mse,10
001,007,base,022,28,7,14,006,002,34.856682262495404,29.894090796997308,003,2,16,8,relu,relu,adam,5e-4,mse,10
001,007,base,023,28,7,21,006,002,28.914033720148034,33.74143132978505,003,2,64,8,relu,relu,adam,5e-4,mse,10
001,007,base,024,28,7,28,006,002,30.14045471695987,32.3549401023993,003,2,16,8,relu,relu,adam,5e-4,mse,10
001,007,base,025,28,7,35,006,002,30.773525810753,31.077240682690945,003,2,16,8,relu,relu,adam,5e-4,mse,10
001,007,base,001,0,7,7,006,003,13.438204948120593,7.4446775703208274,003,2,64,16,relu,relu,adam,0.002,mse,10
001,007,base,002,0,7,14,006,003,14.460450421356292,7.27343129566931,003,2,64,16,relu,relu,adam,0.002,mse,10
001,007,base,003,0,7,21,006,003,16.775502328771285,8.257553491545945,003,1,32,0,relu,none,adam,0.001,mse,10
001,007,base,004,0,7,28,006,003,15.764352526977442,10.125749851840807,003,1,16,0,relu,none,adam,0.005,mse,10
001,007,base,005,0,7,35,006,003,16.281530296480586,11.494568487643859,003,1,64,0,relu,none,adam,0.005,mse,10
001,007,base,006,7,7,7,006,003,20.88175202786808,11.163518415865457,003,2,32,32,relu,relu,adam,0.002,mse,10
001,007,base,007,7,7,14,006,003,22.345252780609915,11.18886598163341,003,2,32,16,relu,relu,adam,0.005,mse,10
001,007,base,008,7,7,21,006,003,21.965621829929912,13.07968619839794,003,2,32,8,relu,relu,adam,0.005,mse,10
001,007,base,009,7,7,28,006,003,22.00915951859336,15.396763115031774,003,2,16,16,relu,relu,adam,0.002,mse,10
001,007,base,010,7,7,35,006,003,22.655054806029934,17.814412920636606,003,1,16,0,relu,none,adam,0.001,mse,10
001,007,base,011,14,7,7,006,003,26.63402180474976,13.779227289000612,003,2,32,8,relu,relu,adam,0.005,mse,10
001,007,base,012,14,7,14,006,003,26.977889000756488,16.468462567952947,003,2,16,32,relu,relu,adam,0.005,mse,10
001,007,base,013,14,7,21,006,003,26.359750723938106,16.87574977017432,003,2,16,16,relu,relu,adam,0.005,mse,10
001,007,base,014,14,7,28,006,003,24.813769997627652,19.27966104176923,003,2,16,8,relu,relu,adam,0.002,mse,10
001,007,base,015,14,7,35,006,003,20.941081798428208,21.398550832143396,003,2,16,32,relu,relu,adam,0.005,mse,10
001,007,base,016,21,7,7,006,003,29.265432067517647,18.85034581293019,003,2,16,32,relu,relu,adam,0.005,mse,10
001,007,base,017,21,7,14,006,003,29.232859296138898,18.97985217609158,003,1,16,0,relu,none,adam,0.001,mse,10
001,007,base,018,21,7,21,006,003,26.055683865749824,19.713006180144607,003,2,16,16,relu,relu,adam,0.005,mse,10
001,007,base,019,21,7,28,006,003,25.41097763630131,21.702832648251686,003,2,64,8,relu,relu,adam,5e-4,mse,10
