number_xy,number_combination_features,name_data_set,number_combination_kNp,k,N,p,group_dates_train_test,number_dates_train_test,rmse_train,rmse_test,number_hyp_par_grid_nn,nlayers,nneurons_one,nneurons_two,act_function_one,act_function_two,optimizer,learning_rate,loss_function,nepochs
001,010,base,001,0,7,7,002,001,7.231790724275481,7.196054449739068,003,1,16,0,relu,none,adam,5e-4,mse,10
001,010,base,002,0,7,14,002,001,1.8028995144011857,9.381843568559061,003,1,32,0,relu,none,adam,0.002,mse,50
001,010,base,003,0,7,21,002,001,1.3145655466281099,8.993206719611901,003,2,64,16,relu,relu,adam,0.005,mse,50
001,010,base,004,0,7,28,002,001,6.074813364388484,9.850262274563804,003,2,16,8,relu,relu,adam,5e-4,mse,10
001,010,base,005,0,7,35,002,001,1.770666317868023,8.514328229727743,003,2,64,8,relu,relu,adam,0.002,mse,50
001,010,base,006,7,7,7,002,001,10.067258815031368,5.471550104523736,003,2,16,8,relu,relu,adam,5e-4,mse,10
001,010,base,007,7,7,14,002,001,8.282388752820053,8.566876529058867,003,2,16,8,relu,relu,adam,5e-4,mse,10
001,010,base,008,7,7,21,002,001,6.4720657303968805,9.515080177923677,003,2,16,8,relu,relu,adam,5e-4,mse,10
001,010,base,009,7,7,28,002,001,4.189497207300849,8.664809005475563,003,2,16,8,relu,relu,adam,5e-4,mse,10
001,010,base,010,7,7,35,002,001,3.386019767603214,6.292889121522017,003,2,16,8,relu,relu,adam,5e-4,mse,10
001,010,base,011,14,7,7,002,001,9.981932672203756,6.544507484676347,003,2,16,8,relu,relu,adam,5e-4,mse,10
001,010,base,012,14,7,14,002,001,7.430189275211246,7.6082292781630105,003,2,16,8,relu,relu,adam,5e-4,mse,10
001,010,base,013,14,7,21,002,001,4.797767430611144,7.326241639279593,003,2,16,8,relu,relu,adam,5e-4,mse,10
001,010,base,014,14,7,28,002,001,3.313433316804941,5.857254643895663,003,2,16,8,relu,relu,adam,5e-4,mse,10
001,010,base,015,14,7,35,002,001,1.7673061394771168,4.4002629909808855,003,1,64,0,relu,none,adam,0.001,mse,10
001,010,base,016,21,7,7,002,001,9.866492465475723,5.1475158793675275,003,2,16,8,relu,relu,adam,5e-4,mse,10
001,010,base,017,21,7,14,002,001,5.715082280428385,6.5569416192802255,003,2,16,8,relu,relu,adam,5e-4,mse,10
001,010,base,018,21,7,21,002,001,3.6536127581150297,5.89458975277845,003,2,16,8,relu,relu,adam,5e-4,mse,10
001,010,base,019,21,7,28,002,001,2.383330163106903,3.852668481551312,003,2,32,8,relu,relu,adam,5e-4,mse,10
001,010,base,020,21,7,35,002,001,2.7162085839796646,3.137683530174579,003,2,16,8,relu,relu,adam,5e-4,mse,10
001,010,base,021,28,7,7,002,001,6.979708993918476,5.164352397862584,003,2,16,8,relu,relu,adam,5e-4,mse,10
001,010,base,022,28,7,14,002,001,4.2294056917449,5.009803396971267,003,2,16,32,relu,relu,adam,5e-4,mse,10
001,010,base,023,28,7,21,002,001,3.217566572957176,4.499045827880518,003,2,16,8,relu,relu,adam,5e-4,mse,10
001,010,base,024,28,7,28,002,001,2.5049288353350403,4.4959445997307474,003,2,32,8,relu,relu,adam,5e-4,mse,10
001,010,base,025,28,7,35,002,001,1.559694940368849,4.313218493446843,003,1,64,0,relu,none,adam,5e-4,mse,25
001,010,base,001,0,7,7,002,002,1.4221439357493701,20.433894933594978,003,1,32,0,relu,none,adam,0.005,mse,50
001,010,base,002,0,7,14,002,002,2.17097349930982,27.922729899166722,003,1,16,0,relu,none,adam,0.005,mse,10
001,010,base,003,0,7,21,002,002,2.0451178183200636,33.18775645903165,003,1,16,0,relu,none,adam,0.002,mse,10
001,010,base,004,0,7,28,002,002,2.008335195531042,36.173615072421946,003,1,16,0,relu,none,adam,0.005,mse,10
001,010,base,005,0,7,35,002,002,1.6435294094916952,38.64556257415841,003,1,16,0,relu,none,adam,0.005,mse,10
001,010,base,006,7,7,7,002,002,2.1772695505375497,34.33108002661227,003,1,16,0,relu,none,adam,0.005,mse,50
001,010,base,007,7,7,14,002,002,3.5916595307811607,41.2110798054208,003,1,16,0,relu,none,adam,0.001,mse,10
001,010,base,008,7,7,21,002,002,2.470248354623516,43.77567024781684,003,1,16,0,relu,none,adam,0.002,mse,10
001,010,base,009,7,7,28,002,002,1.6751178672624754,45.3357128867406,003,1,16,0,relu,none,adam,0.002,mse,10
001,010,base,010,7,7,35,002,002,0.95584936632223,47.616075712773785,003,1,32,0,relu,none,adam,0.005,mse,50
001,010,base,011,14,7,7,002,002,5.921460984106335,47.48598078652788,003,1,32,0,relu,none,adam,5e-4,mse,10
001,010,base,012,14,7,14,002,002,3.2047487054495045,50.772408304310126,003,1,32,0,relu,none,adam,0.001,mse,10
001,010,base,013,14,7,21,002,002,2.664366392576154,51.241844509437,003,1,32,0,relu,none,adam,5e-4,mse,10
001,010,base,014,14,7,28,002,002,1.3832857113035026,53.520773726777534,003,2,32,16,relu,relu,adam,0.005,mse,10
001,010,base,015,14,7,35,002,002,0.885033636158522,55.290909522103895,003,2,16,32,relu,relu,adam,0.005,mse,25
001,010,base,016,21,7,7,002,002,5.964913261771751,54.99495246599527,003,1,32,0,relu,none,adam,5e-4,mse,10
001,010,base,017,21,7,14,002,002,4.382551624314672,56.948562770330724,003,1,16,0,relu,none,adam,5e-4,mse,10
001,010,base,018,21,7,21,002,002,1.7995569754208327,57.16598230453123,003,1,32,0,relu,none,adam,0.001,mse,10
001,010,base,019,21,7,28,002,002,1.2804542179503913,58.32537689862333,003,1,16,0,relu,none,adam,0.005,mse,10
001,010,base,020,21,7,35,002,002,1.1611884085371893,59.95418871529,003,2,32,32,relu,relu,adam,0.005,mse,10
001,010,base,021,28,7,7,002,002,0.793721863950915,57.63504935202583,003,2,16,32,relu,relu,adam,0.005,mse,50
001,010,base,022,28,7,14,002,002,2.0970814598305263,59.79475510985888,003,1,32,0,relu,none,adam,0.001,mse,10
001,010,base,023,28,7,21,002,002,0.7568294602197638,60.43248746739323,003,2,16,32,relu,relu,adam,0.005,mse,50
001,010,base,024,28,7,28,002,002,0.7140738576894231,61.34277533885119,003,1,64,0,relu,none,adam,0.002,mse,50
001,010,base,025,28,7,35,002,002,1.114057323416163,62.879873997973824,003,1,64,0,relu,none,adam,0.001,mse,10
001,010,base,001,0,7,7,002,003,7.574703831881849,7.815119542890667,003,1,64,0,relu,none,adam,0.005,mse,50
001,010,base,002,0,7,14,002,003,8.551564572637261,7.52763612840361,003,1,32,0,relu,none,adam,0.001,mse,50
001,010,base,003,0,7,21,002,003,8.692298585787402,7.738136731082364,003,2,32,32,relu,relu,adam,5e-4,mse,50
001,010,base,004,0,7,28,002,003,8.706412426421508,8.528451761036132,003,2,64,8,relu,relu,adam,5e-4,mse,25
001,010,base,005,0,7,35,002,003,11.847435569597769,8.548593509291939,003,2,32,8,relu,relu,adam,0.001,mse,10
001,010,base,006,7,7,7,002,003,11.480039360848203,7.4214470324488655,003,2,64,32,relu,relu,adam,0.002,mse,50
001,010,base,007,7,7,14,002,003,12.5366407201701,8.784640310420547,003,2,64,32,relu,relu,adam,0.001,mse,50
001,010,base,008,7,7,21,002,003,13.109574937391303,8.705027512982182,003,2,64,8,relu,relu,adam,0.001,mse,25
