number_xy,number_combination_features,name_data_set,number_combination_kNp,k,N,p,group_dates_train_test,number_dates_train_test,number_hyp_par_grid_lr,rmse_train,rmse_test
001,002,base,001,0,7,7,002,001,001,5.2921115739189775,2.3416977219688446
001,002,base,001,0,7,7,002,002,001,3.8647011284539143,17.072687658731656
001,002,base,001,0,7,7,002,003,001,9.35298495584281,9.56058270970543
001,002,base,001,0,7,7,002,004,001,9.46151696900326,9.854883245758367
001,002,base,001,0,7,7,002,005,001,9.509943640456957,7.738681428838839
001,002,base,001,0,7,7,002,006,001,9.117196578950042,12.748577292443363
001,002,base,001,0,7,7,002,007,001,9.508937643335262,17.451156112496154
001,002,base,001,0,7,7,002,008,001,10.307129408728295,19.616059574620518
001,002,base,001,0,7,7,002,009,001,11.487660573865405,13.312719936392462
001,002,base,001,0,7,7,002,010,001,11.630131131542276,10.913533376692941
001,002,base,001,0,7,7,002,011,001,11.45737382983381,6.325540480617705
001,002,base,001,0,7,7,002,012,001,11.221016265863234,6.6477867935796695
001,002,base,002,0,7,14,002,001,001,3.4798977388540697,3.8452666377419273
001,002,base,002,0,7,14,002,002,001,2.959379893555221,19.361244038976917
001,002,base,002,0,7,14,002,003,001,9.065946230936802,9.68506068781819
001,002,base,002,0,7,14,002,004,001,9.23572932114116,10.91478827432512
001,002,base,002,0,7,14,002,005,001,9.44346502703619,7.988611014859523
001,002,base,002,0,7,14,002,006,001,9.04611021948659,12.707515952235525
001,002,base,002,0,7,14,002,007,001,9.428276683943158,17.464176015112493
001,002,base,002,0,7,14,002,008,001,10.213206497616397,19.049595245144918
001,002,base,002,0,7,14,002,009,001,11.203821109785299,13.207948816632099
001,002,base,002,0,7,14,002,010,001,11.368737818319792,10.74479849423705
001,002,base,002,0,7,14,002,011,001,11.210103338389397,6.248462026966961
001,002,base,002,0,7,14,002,012,001,10.961228598640883,6.394668769267368
001,002,base,003,0,7,21,002,001,001,1.7253310396545292,5.684109918553114
001,002,base,003,0,7,21,002,002,001,2.4120348777638867,26.53612833515072
001,002,base,003,0,7,21,002,003,001,8.924469211170061,10.751376197867346
001,002,base,003,0,7,21,002,004,001,9.193277683555017,10.804022997862106
001,002,base,003,0,7,21,002,005,001,9.317290574185757,7.144016757623194
001,002,base,003,0,7,21,002,006,001,8.845540182553679,12.624574087369936
001,002,base,003,0,7,21,002,007,001,9.248236943326368,17.71688687729784
001,002,base,003,0,7,21,002,008,001,10.056596062021622,17.35059970912373
001,002,base,003,0,7,21,002,009,001,10.975510070477448,13.602523788808355
001,002,base,003,0,7,21,002,010,001,11.203113044842667,10.606766094503458
001,002,base,003,0,7,21,002,011,001,11.067990442151528,6.288961234870503
001,002,base,003,0,7,21,002,012,001,10.827268104664826,6.195896415183432
001,002,base,004,0,7,28,002,001,001,0.6248636004402224,6.587007779743249
001,002,base,004,0,7,28,002,002,001,2.036432784425481,30.724436241153626
001,002,base,004,0,7,28,002,003,001,8.580024449990011,12.407655513656925
001,002,base,004,0,7,28,002,004,001,9.146776063142699,10.98592214039888
001,002,base,004,0,7,28,002,005,001,9.235696692553129,7.188082654839537
001,002,base,004,0,7,28,002,006,001,8.766184903670291,12.630181436118583
001,002,base,004,0,7,28,002,007,001,9.174041992644614,17.88979373105879
001,002,base,004,0,7,28,002,008,001,9.96360782375278,17.61916491786809
001,002,base,004,0,7,28,002,009,001,10.92394167432331,13.512627863224797
001,002,base,004,0,7,28,002,010,001,11.142226709480516,10.6694688502866
001,002,base,004,0,7,28,002,011,001,11.01271214463994,6.461404809263821
001,002,base,004,0,7,28,002,012,001,10.77311855321471,6.559627482521976
001,002,base,005,0,7,35,002,001,001,2.970013341985672e-14,9.653206316475675
001,002,base,005,0,7,35,002,002,001,1.4102162477718536,34.465402407253414
001,002,base,005,0,7,35,002,003,001,8.531371011541076,12.824281436870809
001,002,base,005,0,7,35,002,004,001,9.093520445257385,11.059012889791731
001,002,base,005,0,7,35,002,005,001,9.165701255427978,7.541085303748361
001,002,base,005,0,7,35,002,006,001,8.714775882916307,12.83654585955138
001,002,base,005,0,7,35,002,007,001,9.143912925281228,17.947383892955827
001,002,base,005,0,7,35,002,008,001,9.872605291857091,18.11189595565384
001,002,base,005,0,7,35,002,009,001,10.85734568851438,13.793509685285073
001,002,base,005,0,7,35,002,010,001,11.105284383742683,10.864551735610956
001,002,base,005,0,7,35,002,011,001,10.988829710674432,6.525967734932549
001,002,base,005,0,7,35,002,012,001,10.74873487020597,6.659371959200891
001,002,base,006,7,7,7,002,001,001,5.1136291472131585,5.013563740213676
001,002,base,006,7,7,7,002,002,001,4.133519103672477,29.39962028146819
001,002,base,006,7,7,7,002,003,001,14.574702158313666,12.622095347033516
001,002,base,006,7,7,7,002,004,001,13.953736545849015,13.63091745991144
001,002,base,006,7,7,7,002,005,001,13.555758630357587,12.154088730317529
001,002,base,006,7,7,7,002,006,001,13.192081262457311,17.24680644065691
001,002,base,006,7,7,7,002,007,001,13.520193553981281,26.36862136879408
001,002,base,006,7,7,7,002,008,001,14.978182044446557,34.13819470259013
001,002,base,006,7,7,7,002,009,001,17.38824985221167,18.83700961034778
001,002,base,006,7,7,7,002,010,001,17.50352173200009,14.981874383064804
001,002,base,006,7,7,7,002,011,001,17.01723251309046,6.847876254419374
