number_xy,number_combination_features,name_data_set,number_combination_kNp,k,N,p,group_dates_train_test,number_dates_train_test,number_hyp_par_grid_lr,rmse_train,rmse_test
001,005,base,001,0,7,7,006,001,001,17.067702429348707,13.418432002824623
001,005,base,001,0,7,7,006,002,001,15.764702538762654,11.99429498349202
001,005,base,001,0,7,7,006,003,001,14.097899692988507,6.930980573591008
001,005,base,001,0,7,7,006,004,001,13.351339021549675,8.993019837937307
001,005,base,002,0,7,14,006,001,001,16.69312980211724,13.723826838266758
001,005,base,002,0,7,14,006,002,001,15.467269166602518,11.396693665368868
001,005,base,002,0,7,14,006,003,001,13.793096958500895,7.172869003754081
001,005,base,002,0,7,14,006,004,001,13.006843359408101,10.039539816376035
001,005,base,003,0,7,21,006,001,001,15.749186955997958,15.008756192228683
001,005,base,003,0,7,21,006,002,001,14.8928776412088,12.204523705654042
001,005,base,003,0,7,21,006,003,001,13.37918769393269,7.572492450526929
001,005,base,003,0,7,21,006,004,001,12.64917275234846,9.46932611487278
001,005,base,004,0,7,28,006,001,001,14.749643953774656,16.877060755649932
001,005,base,004,0,7,28,006,002,001,14.321593750189116,13.361060998269476
001,005,base,004,0,7,28,006,003,001,13.008171959321928,8.138742467187056
001,005,base,004,0,7,28,006,004,001,12.351860226997822,9.959663590297392
001,005,base,005,0,7,35,006,001,001,13.991228522519991,19.287556366218226
001,005,base,005,0,7,35,006,002,001,14.197204931208123,13.939770831647163
001,005,base,005,0,7,35,006,003,001,12.821681725216854,10.939915240172583
001,005,base,005,0,7,35,006,004,001,12.332940742134536,9.886651232132886
001,005,base,006,7,7,7,006,001,001,26.818592607388748,19.023489253966552
001,005,base,006,7,7,7,006,002,001,24.29731604089777,17.7847991979057
001,005,base,006,7,7,7,006,003,001,21.141740218946687,8.76321713101173
001,005,base,006,7,7,7,006,004,001,19.821358235581993,15.946216969748248
001,005,base,007,7,7,14,006,001,001,25.41900516720177,19.60105300804121
001,005,base,007,7,7,14,006,002,001,23.241633746828455,17.214758467355825
001,005,base,007,7,7,14,006,003,001,20.296163167388233,9.70060504236121
001,005,base,007,7,7,14,006,004,001,19.010515633682655,16.53776138827674
001,005,base,008,7,7,21,006,001,001,25.12865658646007,21.287576313925054
001,005,base,008,7,7,21,006,002,001,23.22821427972591,19.014996763905167
001,005,base,008,7,7,21,006,003,001,20.22793313019156,10.42627354902613
001,005,base,008,7,7,21,006,004,001,18.941556251302156,16.937644849451342
001,005,base,009,7,7,28,006,001,001,23.80146645826629,25.83059616960595
001,005,base,009,7,7,28,006,002,001,22.77128874386589,22.52204056769402
001,005,base,009,7,7,28,006,003,001,20.020293666338873,11.886069464087937
001,005,base,009,7,7,28,006,004,001,18.800618734251355,17.229347058363608
001,005,base,010,7,7,35,006,001,001,22.805161768034928,28.907143452178733
001,005,base,010,7,7,35,006,002,001,22.630960418260276,21.82403931049413
001,005,base,010,7,7,35,006,003,001,19.713025813813545,18.175839607900954
001,005,base,010,7,7,35,006,004,001,18.728267433193228,18.120718831769846
001,005,base,011,14,7,7,006,001,001,34.54337441099307,22.681948312855962
001,005,base,011,14,7,7,006,002,001,30.471842058679776,23.499487076815
001,005,base,011,14,7,7,006,003,001,26.254416760135197,11.762157652365856
001,005,base,011,14,7,7,006,004,001,24.61210020598718,22.498067847736547
001,005,base,012,14,7,14,006,001,001,34.114439014433735,23.865375734222898
001,005,base,012,14,7,14,006,002,001,30.216425197603456,22.747294197832833
001,005,base,012,14,7,14,006,003,001,25.837152276314416,13.283532143010731
001,005,base,012,14,7,14,006,004,001,24.18592680612171,23.927022097355096
001,005,base,013,14,7,21,006,001,001,33.65990906753448,27.578677593905716
001,005,base,013,14,7,21,006,002,001,30.314659020778638,27.721015433719888
001,005,base,013,14,7,21,006,003,001,25.898074464935412,14.858159070502483
001,005,base,013,14,7,21,006,004,001,24.249255561793916,24.291963923205994
001,005,base,014,14,7,28,006,001,001,31.026822639307504,36.09564838062867
001,005,base,014,14,7,28,006,002,001,29.70644205795449,31.696689210359068
001,005,base,014,14,7,28,006,003,001,25.510275957006904,17.777842684145206
001,005,base,014,14,7,28,006,004,001,23.893675519154062,25.635993040182754
001,005,base,015,14,7,35,006,001,001,28.28701791880959,40.176288776887965
001,005,base,015,14,7,35,006,002,001,28.827573224528354,27.868563239449475
001,005,base,015,14,7,35,006,003,001,24.711657004532817,26.452366748684554
001,005,base,015,14,7,35,006,004,001,23.445163180652035,27.217308221145256
001,005,base,016,21,7,7,006,001,001,39.64802587201709,27.606324528889957
001,005,base,016,21,7,7,006,002,001,34.97628682391045,26.51213639808487
001,005,base,016,21,7,7,006,003,001,29.92595937661605,15.79061132118156
001,005,base,016,21,7,7,006,004,001,28.155095801642734,28.53369847371887
001,005,base,017,21,7,14,006,001,001,39.38617432736283,30.599598058320595
001,005,base,017,21,7,14,006,002,001,35.0290058283446,27.210649617778504
001,005,base,017,21,7,14,006,003,001,29.76224818964681,17.197474882395813
001,005,base,017,21,7,14,006,004,001,27.92754103148316,29.53607092996443
001,005,base,018,21,7,21,006,001,001,38.0992633401814,37.61229080427599
001,005,base,018,21,7,21,006,002,001,34.90682107808393,34.360212420725745
001,005,base,018,21,7,21,006,003,001,29.657483121074005,20.87874800128068
001,005,base,018,21,7,21,006,004,001,27.872249957156622,30.87644145097698
001,005,base,019,21,7,28,006,001,001,34.508579135959366,48.15816113714203
001,005,base,019,21,7,28,006,002,001,34.38641819821257,36.43174967393384
001,005,base,019,21,7,28,006,003,001,29.12833571094972,26.84752413702997
001,005,base,019,21,7,28,006,004,001,27.505068333304326,33.11552931231816
001,005,base,020,21,7,35,006,001,001,29.16041223057721,62.525683243019145
001,005,base,020,21,7,35,006,002,001,33.03123557519107,33.00698066983414
001,005,base,020,21,7,35,006,003,001,27.903873938665708,40.758215534773285
001,005,base,020,21,7,35,006,004,001,27.006746512096743,35.107493461172105
001,005,base,021,28,7,7,006,001,001,42.44301655488531,32.27738433038717
001,005,base,021,28,7,7,006,002,001,37.56902403036583,30.594788908438023
001,005,base,021,28,7,7,006,003,001,32.164591223737226,20.54973897987657
001,005,base,021,28,7,7,006,004,001,30.527957734206645,32.99277777512851
001,005,base,022,28,7,14,006,001,001,40.931331173207035,39.841036648125105
001,005,base,022,28,7,14,006,002,001,37.38304008367929,33.22196270567186
001,005,base,022,28,7,14,006,003,001,31.839041650732394,23.562014387817005
001,005,base,022,28,7,14,006,004,001,30.168176371020717,34.69975703088371
001,005,base,023,28,7,21,006,001,001,37.714018587563,50.718502095291115
001,005,base,023,28,7,21,006,002,001,36.72291664014156,41.36976087984056
001,005,base,023,28,7,21,006,003,001,31.316503908347812,28.79810654039043
001,005,base,023,28,7,21,006,004,001,29.747110920191503,36.297763893905184
001,005,base,024,28,7,28,006,001,001,31.86523732983053,67.01323195405163
001,005,base,024,28,7,28,006,002,001,35.64016720217792,44.86865025489644
001,005,base,024,28,7,28,006,003,001,30.340337582953286,40.00430963539684
001,005,base,024,28,7,28,006,004,001,29.29837963051765,38.64600544202475
001,005,base,025,28,7,35,006,001,001,24.02516797955629,91.93502026251528
001,005,base,025,28,7,35,006,002,001,33.83889075727041,40.59686217197154
001,005,base,025,28,7,35,006,003,001,29.36118929705273,47.9054490498381
001,005,base,025,28,7,35,006,004,001,28.44983874879784,40.41842412267239
