number_xy,number_combination_features,name_data_set,number_combination_kNp,k,N,p,group_dates_train_test,number_dates_train_test,rmse_train,rmse_test,number_hyp_par_grid_nn,nlayers,nneurons_one,nneurons_two,act_function_one,act_function_two,optimizer,learning_rate,loss_function,nepochs
001,008,base,001,0,7,7,006,001,13.735666551772303,12.531016019066449,003,2,32,32,relu,relu,adam,0.005,mse,50
001,008,base,002,0,7,14,006,001,17.1570638163019,14.8980191164762,003,1,32,0,relu,none,adam,0.005,mse,25
001,008,base,003,0,7,21,006,001,16.484872957998057,15.53013967984426,003,1,64,0,relu,none,adam,0.002,mse,25
001,008,base,004,0,7,28,006,001,20.277571495364633,18.043767988196237,003,2,32,16,relu,relu,adam,0.005,mse,25
001,008,base,005,0,7,35,006,001,19.357166537147894,19.51817731692901,003,2,32,32,relu,relu,adam,0.005,mse,50
001,008,base,006,7,7,7,006,001,23.54920616442323,20.776653386955708,003,1,32,0,relu,none,adam,0.005,mse,50
001,008,base,007,7,7,14,006,001,26.270822970297054,21.28463759131771,003,2,64,8,relu,relu,adam,5e-4,mse,50
001,008,base,008,7,7,21,006,001,26.54883091861831,23.744417510363704,003,1,32,0,relu,none,adam,0.001,mse,50
001,008,base,009,7,7,28,006,001,26.2775548214624,26.75755724699294,003,1,64,0,relu,none,adam,5e-4,mse,50
001,008,base,010,7,7,35,006,001,39.03705696195463,29.990808005049402,003,2,16,8,relu,relu,adam,5e-4,mse,10
001,008,base,011,14,7,7,006,001,37.381584311082996,24.4743421535844,003,2,16,8,relu,relu,adam,5e-4,mse,10
001,008,base,012,14,7,14,006,001,39.49676475677002,23.652667077249465,003,2,16,8,relu,relu,adam,5e-4,mse,10
001,008,base,013,14,7,21,006,001,40.690219322520996,25.886338764025787,003,2,16,8,relu,relu,adam,5e-4,mse,10
001,008,base,014,14,7,28,006,001,41.640064921727365,34.84184488109754,003,2,16,8,relu,relu,adam,5e-4,mse,10
001,008,base,015,14,7,35,006,001,42.13254106412919,38.188482459024485,003,2,16,8,relu,relu,adam,0.001,mse,10
001,008,base,016,21,7,7,006,001,41.35340522828895,21.75233976845454,003,2,16,8,relu,relu,adam,5e-4,mse,10
001,008,base,017,21,7,14,006,001,41.90230055612521,27.260082581966042,003,2,16,8,relu,relu,adam,5e-4,mse,10
001,008,base,018,21,7,21,006,001,42.97802576825216,29.561142945781345,003,2,16,8,relu,relu,adam,5e-4,mse,10
001,008,base,019,21,7,28,006,001,44.76500798981383,36.46259168274962,003,2,16,8,relu,relu,adam,5e-4,mse,10
001,008,base,020,21,7,35,006,001,44.66833396231472,37.393030521516,003,2,16,8,relu,relu,adam,5e-4,mse,10
001,008,base,021,28,7,7,006,001,45.37602644869357,19.64412566200235,003,2,16,8,relu,relu,adam,5e-4,mse,10
001,008,base,022,28,7,14,006,001,35.102025075015014,26.45021247755782,003,1,64,0,relu,none,adam,0.002,mse,50
001,008,base,023,28,7,21,006,001,45.39202049318606,32.41083357522705,003,2,16,8,relu,relu,adam,5e-4,mse,10
001,008,base,024,28,7,28,006,001,45.7355534400912,37.87084661055999,003,2,16,8,relu,relu,adam,5e-4,mse,10
001,008,base,025,28,7,35,006,001,47.09446352404567,37.17070236068432,003,2,16,8,relu,relu,adam,5e-4,mse,10
001,008,base,001,0,7,7,006,002,12.506662699171432,9.062415022872758,003,2,64,32,relu,relu,adam,5e-4,mse,50
001,008,base,002,0,7,14,006,002,14.077379646421319,9.308208924882631,003,1,16,0,relu,none,adam,0.001,mse,50
001,008,base,003,0,7,21,006,002,12.952192341041126,9.710319136708975,003,1,32,0,relu,none,adam,0.005,mse,25
001,008,base,004,0,7,28,006,002,11.382100378801525,9.700803373229869,003,1,64,0,relu,none,adam,5e-4,mse,50
001,008,base,005,0,7,35,006,002,10.295674441425737,10.411517448786107,003,1,64,0,relu,none,adam,0.002,mse,50
001,008,base,006,7,7,7,006,002,20.299452472199228,11.14458661774239,003,1,32,0,relu,none,adam,0.001,mse,50
001,008,base,007,7,7,14,006,002,19.743348606256422,11.19553061123986,003,2,32,16,relu,relu,adam,5e-4,mse,50
001,008,base,008,7,7,21,006,002,17.340315865958427,12.483333067577925,003,2,32,8,relu,relu,adam,0.001,mse,50
001,008,base,009,7,7,28,006,002,22.8533494025397,13.261266176016147,003,2,64,16,relu,relu,adam,0.002,mse,10
001,008,base,010,7,7,35,006,002,24.901465545303974,15.974107312275716,003,2,32,8,relu,relu,adam,0.005,mse,10
001,008,base,011,14,7,7,006,002,23.69797149088114,13.381312191256075,003,1,64,0,relu,none,adam,0.005,mse,25
001,008,base,012,14,7,14,006,002,25.975907386083147,14.621702049331466,003,1,16,0,relu,none,adam,0.001,mse,50
001,008,base,013,14,7,21,006,002,26.514989540128965,16.881609917656494,003,1,32,0,relu,none,adam,0.001,mse,25
001,008,base,014,14,7,28,006,002,29.795542408047094,19.871700824057562,003,2,16,16,relu,relu,adam,0.005,mse,10
001,008,base,015,14,7,35,006,002,29.782229802717858,21.913896622685293,003,2,32,16,relu,relu,adam,0.005,mse,10
001,008,base,016,21,7,7,006,002,28.319374274205625,20.36668136298133,003,1,64,0,relu,none,adam,0.002,mse,25
001,008,base,017,21,7,14,006,002,33.336410593698076,21.906306171082853,003,2,64,8,relu,relu,adam,0.005,mse,10
001,008,base,018,21,7,21,006,002,35.99943260400409,24.201372279821282,003,2,32,8,relu,relu,adam,5e-4,mse,10
001,008,base,019,21,7,28,006,002,33.92280003266668,25.683143824072747,003,2,64,8,relu,relu,adam,0.005,mse,10
001,008,base,020,21,7,35,006,002,37.15742992938039,27.858021538335088,003,2,16,8,relu,relu,adam,5e-4,mse,10
001,008,base,021,28,7,7,006,002,38.21256598881202,24.27629447493656,003,2,16,8,relu,relu,adam,5e-4,mse,10
001,008,base,022,28,7,14,006,002,36.20742882238377,27.995946217546116,003,2,32,8,relu,relu,adam,5e-4,mse,25
001,008,base,023,28,7,21,006,002,38.734180140988755,27.980791278609722,003,2,16,8,relu,relu,adam,5e-4,mse,10
001,008,base,024,28,7,28,006,002,37.76638585204418,31.199267184677286,003,2,32,8,relu,relu,adam,5e-4,mse,10
001,008,base,025,28,7,35,006,002,37.46828470074742,32.703049239411655,003,1,16,0,relu,none,adam,5e-4,mse,10
001,008,base,001,0,7,7,006,003,11.667310113045055,5.801075051335752,003,2,64,8,relu,relu,adam,5e-4,mse,50
001,008,base,002,0,7,14,006,003,13.554094044214363,5.652227541511596,003,1,32,0,relu,none,adam,0.005,mse,10
001,008,base,003,0,7,21,006,003,14.13749588550275,6.149610861115547,003,2,32,16,relu,relu,adam,0.005,mse,10
001,008,base,004,0,7,28,006,003,8.417410684669782,7.584653133062676,003,2,64,16,relu,relu,adam,0.002,mse,50
001,008,base,005,0,7,35,006,003,13.94634058030964,8.900749721644065,003,2,64,16,relu,relu,adam,0.005,mse,10
001,008,base,006,7,7,7,006,003,16.25848518809587,8.422053728138476,003,2,64,16,relu,relu,adam,0.002,mse,25
001,008,base,007,7,7,14,006,003,12.771713363359064,8.398687954600254,003,2,64,32,relu,relu,adam,0.002,mse,50
001,008,base,008,7,7,21,006,003,10.421768513900528,9.395056571813663,003,2,64,32,relu,relu,adam,0.002,mse,50
001,008,base,009,7,7,28,006,003,19.05259015109902,13.556390105979597,003,2,64,16,relu,relu,adam,0.002,mse,10
001,008,base,010,7,7,35,006,003,20.74572218221339,17.57700754414942,003,1,32,0,relu,none,adam,0.001,mse,10
001,008,base,011,14,7,7,006,003,18.211773433736763,12.559221018255037,003,2,64,32,relu,relu,adam,0.001,mse,50
001,008,base,012,14,7,14,006,003,11.899838095981524,12.75020123591575,003,2,64,32,relu,relu,adam,0.002,mse,50
001,008,base,013,14,7,21,006,003,12.80352042579362,16.33109250521159,003,2,64,32,relu,relu,adam,0.002,mse,50
