number_xy,number_combination_features,name_data_set,number_combination_kNp,k,N,p,group_dates_train_test,number_dates_train_test,rmse_train,rmse_test,number_hyp_par_grid_nn,nlayers,nneurons_one,nneurons_two,act_function_one,act_function_two,optimizer,learning_rate,loss_function,nepochs
001,008,base,001,0,7,7,002,001,3.2688446401150113,2.656286101003712,003,2,32,32,relu,relu,adam,0.005,mse,50
001,008,base,002,0,7,14,002,001,3.187144788868343,6.244483540534046,003,2,64,16,relu,relu,adam,0.005,mse,50
001,008,base,003,0,7,21,002,001,2.9571674679297177,8.620368538248666,003,2,64,32,relu,relu,adam,0.005,mse,50
001,008,base,004,0,7,28,002,001,3.5702632324898644,13.552903649920134,003,2,16,32,relu,relu,adam,0.005,mse,50
001,008,base,005,0,7,35,002,001,2.806652366886214,11.23439170676191,003,2,32,32,relu,relu,adam,0.005,mse,50
001,008,base,006,7,7,7,002,001,2.9947410851817367,8.514206406340294,003,2,64,32,relu,relu,adam,0.005,mse,50
001,008,base,007,7,7,14,002,001,10.112526835340503,9.558678118241435,003,2,16,8,relu,relu,adam,5e-4,mse,10
001,008,base,008,7,7,21,002,001,8.294786848905556,13.33473980148617,003,2,16,8,relu,relu,adam,5e-4,mse,10
001,008,base,009,7,7,28,002,001,6.651198544469115,9.125744482969433,003,2,16,8,relu,relu,adam,5e-4,mse,10
001,008,base,010,7,7,35,002,001,3.582499253971813,9.281103469347608,003,1,64,0,relu,none,adam,5e-4,mse,10
001,008,base,011,14,7,7,002,001,9.960216468414282,9.66872650981419,003,2,16,32,relu,relu,adam,5e-4,mse,10
001,008,base,012,14,7,14,002,001,8.39136326631458,11.099775643018045,003,2,16,8,relu,relu,adam,5e-4,mse,10
001,008,base,013,14,7,21,002,001,6.115179505933592,11.84349250666077,003,2,16,16,relu,relu,adam,5e-4,mse,10
001,008,base,014,14,7,28,002,001,4.608178989639916,8.49152833339116,003,2,16,8,relu,relu,adam,5e-4,mse,10
001,008,base,015,14,7,35,002,001,3.2980240067331024,6.8271024320399025,003,2,16,16,relu,relu,adam,5e-4,mse,10
001,008,base,016,21,7,7,002,001,11.645204432050189,4.586254499880582,003,2,16,8,relu,relu,adam,5e-4,mse,10
001,008,base,017,21,7,14,002,001,6.4328895885989335,8.969506844865993,003,2,16,8,relu,relu,adam,5e-4,mse,10
001,008,base,018,21,7,21,002,001,4.787084822217917,6.399700267822936,003,2,16,8,relu,relu,adam,5e-4,mse,10
001,008,base,019,21,7,28,002,001,3.2391005341131365,6.073029896123313,003,2,16,8,relu,relu,adam,5e-4,mse,10
001,008,base,020,21,7,35,002,001,3.2617665847655024,4.296805708078684,003,2,16,32,relu,relu,adam,5e-4,mse,10
001,008,base,021,28,7,7,002,001,7.037671490379296,7.098293820455467,003,2,16,16,relu,relu,adam,5e-4,mse,10
