number_xy,number_combination_features,name_data_set,number_combination_kNp,k,N,p,group_dates_train_test,number_dates_train_test,rmse_train,rmse_test,number_hyp_par_grid_xgb,nrounds,eta,gamma,max_depth,min_child_weight,max_delta_step,subsample,colsample_bytree,colsample_bylevel,colsample_bynode,lambda,alpha
001,006,base,001,0,7,7,002,001,7.812788757009579,2.393837771648532,006,10,0.1,0,7,1,15,1,1,1,1,1,0
001,006,base,002,0,7,14,002,001,7.32743959117973,2.6883202036246807,006,10,0.1,0,5,1,20,1,1,1,1,1,0
001,006,base,003,0,7,21,002,001,13.635373335196116,2.3034605601756852,006,10,0.1,0,8,1,5,1,1,1,1,1,0
001,006,base,004,0,7,28,002,001,6.7504213492834895,1.834069406343673,006,10,0.1,0,6,1,20,1,1,1,1,1,0
001,006,base,005,0,7,35,002,001,5.431276638628004,1.704507208101272,006,10,0.1,0,4,1,0,1,1,1,1,1,0
001,006,base,006,7,7,7,002,001,13.486914569727382,3.1731349309644044,006,10,0.1,0,5,1,5,1,1,1,1,1,0
001,006,base,007,7,7,14,002,001,13.624861740501345,2.704971629917567,006,10,0.1,0,4,1,5,1,1,1,1,1,0
001,006,base,008,7,7,21,002,001,12.286140648021272,2.321014785190381,006,10,0.1,0,4,1,5,1,1,1,1,1,0
001,006,base,009,7,7,28,002,001,9.272758469923811,2.284906469959141,006,10,0.1,0,3,1,5,1,1,1,1,1,0
001,006,base,010,7,7,35,002,001,4.316012727738507,2.02620169176957,006,10,0.1,0,3,1,0,1,1,1,1,1,0
001,006,base,011,14,7,7,002,001,13.62482225319431,3.2979288886010267,006,10,0.1,0,3,1,5,1,1,1,1,1,0
001,006,base,012,14,7,14,002,001,12.266636045609943,3.0920996045271445,006,10,0.1,0,3,1,5,1,1,1,1,1,0
001,006,base,013,14,7,21,002,001,9.24904351612201,3.1356694350864767,006,10,0.1,0,3,1,5,1,1,1,1,1,0
001,006,base,014,14,7,28,002,001,6.415893748135397,3.0046548089323375,006,10,0.1,0,4,1,5,1,1,1,1,1,0
001,006,base,015,14,7,35,002,001,4.109436090131246,2.9591277222092187,006,10,0.1,0,3,1,5,1,1,1,1,1,0
001,006,base,016,21,7,7,002,001,12.274689651304223,3.0975176014343,006,10,0.1,0,3,1,5,1,1,1,1,1,0
001,006,base,017,21,7,14,002,001,9.250944386396027,3.1884431105708315,006,10,0.1,0,5,1,5,1,1,1,1,1,0
001,006,base,018,21,7,21,002,001,6.400498309063196,3.317024056313098,006,10,0.1,0,3,1,5,1,1,1,1,1,0
001,006,base,019,21,7,28,002,001,4.1106494422523525,3.1024945348534856,006,10,0.1,0,4,1,5,1,1,1,1,1,0
001,006,base,020,21,7,35,002,001,3.463103538214765,3.2089113165388126,006,10,0.1,0,4,1,5,1,1,1,1,1,0
001,006,base,021,28,7,7,002,001,5.548094830510158,4.760409588252606,006,10,0.1,0,3,1,0,1,1,1,1,1,0
001,006,base,022,28,7,14,002,001,6.416870370586007,4.936279251841336,006,10,0.1,0,3,1,5,1,1,1,1,1,0
001,006,base,023,28,7,21,002,001,4.121988535546566,4.850317447475712,006,10,0.1,0,3,1,5,1,1,1,1,1,0
001,006,base,024,28,7,28,002,001,3.4704730287612,4.792127839759851,006,10,0.1,0,3,1,5,1,1,1,1,1,0
001,006,base,025,28,7,35,002,001,2.934163940576558,4.80363119306003,006,10,0.1,0,3,1,5,1,1,1,1,1,0
001,006,base,001,0,7,7,002,002,7.663408205157902e-4,41.4636452886258,006,50,0.5,0,7,1,10,1,1,1,1,1,0
001,006,base,002,0,7,14,002,002,0.5008077647620102,44.33237842882231,006,25,0.5,0,3,1,20,1,1,1,1,1,0
001,006,base,003,0,7,21,002,002,0.0129376514434758,45.96849221210376,006,50,0.5,0,4,1,25,1,1,1,1,1,0
001,006,base,004,0,7,28,002,002,4.149065479863609e-4,47.592614857647376,006,50,0.7,0,6,1,0,1,1,1,1,1,0
001,006,base,005,0,7,35,002,002,4.320311846412906e-4,47.91583019611152,006,100,0.5,0,7,1,10,1,1,1,1,1,0
001,006,base,006,7,7,7,002,002,0.48373885636601766,43.48357228515238,006,50,0.5,0,3,1,5,1,1,1,1,1,0
001,006,base,007,7,7,14,002,002,0.6143331435326533,47.13655921583551,006,25,0.5,0,3,1,5,1,1,1,1,1,0
001,006,base,008,7,7,21,002,002,0.035014072062203465,50.53212157290615,006,50,0.7,0,3,1,5,1,1,1,1,1,0
001,006,base,009,7,7,28,002,002,5.058625370039562e-4,52.86189962780548,006,50,0.5,0,5,1,20,1,1,1,1,1,0
