number_xy,number_combination_features,name_data_set,number_combination_kNp,k,N,p,group_dates_train_test,number_dates_train_test,number_hyp_par_grid_lr,rmse_train,rmse_test
001,003,base,001,0,7,7,006,001,001,14.477421003523348,12.705126819281976
001,003,base,001,0,7,7,006,002,001,13.647655780514041,12.076081863114423
001,003,base,001,0,7,7,006,003,001,12.896177921076195,6.801949666652812
001,003,base,001,0,7,7,006,004,001,12.197898234067964,7.072851937967067
001,003,base,002,0,7,14,006,001,001,13.261442802697843,12.637673147165316
001,003,base,002,0,7,14,006,002,001,12.630607616274364,11.761829097066958
001,003,base,002,0,7,14,006,003,001,12.10851510905737,7.557108044330181
001,003,base,002,0,7,14,006,004,001,11.546816663278607,7.223674076398662
001,003,base,003,0,7,21,006,001,001,11.056226172635878,12.691317665900606
001,003,base,003,0,7,21,006,002,001,11.219841288478225,12.468028500397669
001,003,base,003,0,7,21,006,003,001,11.329682357015573,7.583809868214319
001,003,base,003,0,7,21,006,004,001,10.868335121661433,6.935575652635466
001,003,base,004,0,7,28,006,001,001,9.999026190503562,14.051996782981158
001,003,base,004,0,7,28,006,002,001,10.798659211299514,12.977640882939035
001,003,base,004,0,7,28,006,003,001,11.126914837014526,7.866876645468297
001,003,base,004,0,7,28,006,004,001,10.707761050956758,7.179403651876301
001,003,base,005,0,7,35,006,001,001,9.494508251833485,16.430613575913597
001,003,base,005,0,7,35,006,002,001,10.742834546197015,12.82954271138803
001,003,base,005,0,7,35,006,003,001,10.81321412688759,8.901722714129708
001,003,base,005,0,7,35,006,004,001,10.458198822813728,7.345528837953773
001,003,base,006,7,7,7,006,001,001,24.24169987820259,18.58609421151483
001,003,base,006,7,7,7,006,002,001,22.1761567820704,16.326587904057398
001,003,base,006,7,7,7,006,003,001,20.01458895386501,9.51751897698018
001,003,base,006,7,7,7,006,004,001,18.829749974970728,11.0957078337035
001,003,base,007,7,7,14,006,001,001,18.660966584651923,18.29904992139808
001,003,base,007,7,7,14,006,002,001,18.043358458880387,17.7945355543478
001,003,base,007,7,7,14,006,003,001,17.35377018888933,11.583077126544296
001,003,base,007,7,7,14,006,004,001,16.660604876161262,10.112785491408667
001,003,base,008,7,7,21,006,001,001,16.00978819032578,17.882720997869818
001,003,base,008,7,7,21,006,002,001,16.27137706841587,18.883030907271944
001,003,base,008,7,7,21,006,003,001,16.29560831276612,12.671412416365907
001,003,base,008,7,7,21,006,004,001,15.876585351783344,9.916034148907753
001,003,base,009,7,7,28,006,001,001,15.296649420433342,19.616378896216315
001,003,base,009,7,7,28,006,002,001,16.123779111175534,18.740446651698594
001,003,base,009,7,7,28,006,003,001,16.068713883620113,14.207862990457148
001,003,base,009,7,7,28,006,004,001,15.741477562116826,10.300033497564648
001,003,base,010,7,7,35,006,001,001,13.875250188712341,23.782292061182854
001,003,base,010,7,7,35,006,002,001,15.620203640336333,17.624931440786643
001,003,base,010,7,7,35,006,003,001,15.206711453940581,18.32341819149147
001,003,base,010,7,7,35,006,004,001,15.232167395693535,11.059857174188542
001,003,base,011,14,7,7,006,001,001,32.42552589750804,21.977037959729458
001,003,base,011,14,7,7,006,002,001,28.91316462830595,19.016593491619123
001,003,base,011,14,7,7,006,003,001,25.27945872717283,12.651238474755404
001,003,base,011,14,7,7,006,004,001,24.010242737820043,17.791951693960975
001,003,base,012,14,7,14,006,001,001,25.15075766393383,22.103656602597464
001,003,base,012,14,7,14,006,002,001,23.61883659806961,22.75131511906842
001,003,base,012,14,7,14,006,003,001,21.82362142882474,16.5189578663802
001,003,base,012,14,7,14,006,004,001,21.407273844492362,16.332399637414763
001,003,base,013,14,7,21,006,001,001,21.729106532777617,21.097319094927567
001,003,base,013,14,7,21,006,002,001,21.180809937113747,24.575622267119865
001,003,base,013,14,7,21,006,003,001,20.393329144089922,18.93372367827419
001,003,base,013,14,7,21,006,004,001,20.315549091087803,16.31631007418368
001,003,base,014,14,7,28,006,001,001,19.143308732102224,26.236208769110352
001,003,base,014,14,7,28,006,002,001,20.184233576809156,24.530060286222614
001,003,base,014,14,7,28,006,003,001,19.46100723304342,23.065759040911324
001,003,base,014,14,7,28,006,004,001,19.807999303084973,17.364955070205067
001,003,base,015,14,7,35,006,001,001,17.013160990741767,36.6483100458569
001,003,base,015,14,7,35,006,002,001,19.880621854880303,23.169818883785283
001,003,base,015,14,7,35,006,003,001,18.608117653107545,26.695876662172957
001,003,base,015,14,7,35,006,004,001,19.21810164199191,17.935016476565977
