number_xy,number_combination_features,name_data_set,number_combination_kNp,k,N,p,group_dates_train_test,number_dates_train_test,rmse_train,rmse_test,number_hyp_par_grid_lstm,nlayers,nneurons_one,nneurons_two,act_function_one,act_function_two,optimizer,learning_rate,loss_function,nepochs
001,007,base,001,0,7,7,002,001,13.466123878882888,3.1936735238912446,001,2,16,8,relu,relu,adam,5e-4,mse,10
001,007,base,002,0,7,14,002,001,14.063312437487367,2.424793535478928,001,2,16,8,relu,relu,adam,5e-4,mse,10
001,007,base,003,0,7,21,002,001,13.979115255263114,2.8700928180779406,001,2,16,8,relu,relu,adam,5e-4,mse,10
001,007,base,004,0,7,28,002,001,12.783720603467609,3.037477486277068,001,2,16,8,relu,relu,adam,5e-4,mse,10
001,007,base,005,0,7,35,002,001,9.384731188301906,3.2574325690483086,001,2,16,16,relu,relu,adam,5e-4,mse,10
001,007,base,006,7,7,7,002,001,15.077315601459114,2.1890424633931467,001,2,16,8,relu,relu,adam,5e-4,mse,10
001,007,base,007,7,7,14,002,001,14.5466378463963,2.783288226850891,001,1,16,0,relu,none,adam,5e-4,mse,10
001,007,base,008,7,7,21,002,001,12.876948364690056,2.3045978132656946,001,1,16,0,relu,none,adam,5e-4,mse,10
001,007,base,009,7,7,28,002,001,9.987668050471383,2.6343398761656287,001,1,16,0,relu,none,adam,5e-4,mse,10
001,007,base,010,7,7,35,002,001,7.882025824522342,2.06966214860173,001,2,16,8,relu,relu,adam,5e-4,mse,10
001,007,base,011,14,7,7,002,001,15.063282299443662,2.8163534038149907,001,2,16,8,relu,relu,adam,5e-4,mse,10
001,007,base,012,14,7,14,002,001,12.565439407463117,3.217618975454624,001,1,16,0,relu,none,adam,5e-4,mse,10
001,007,base,013,14,7,21,002,001,9.937674543852491,3.0513748625663983,001,1,16,0,relu,none,adam,5e-4,mse,10
001,007,base,014,14,7,28,002,001,7.271650089356892,2.9987897038951328,001,2,16,8,relu,relu,adam,5e-4,mse,10
001,007,base,015,14,7,35,002,001,5.398315654749073,2.778498207593676,001,2,32,8,relu,relu,adam,5e-4,mse,10
001,007,base,016,21,7,7,002,001,13.326206188207165,3.1555251995093445,001,2,16,16,relu,relu,adam,5e-4,mse,10
001,007,base,017,21,7,14,002,001,10.146426004793167,3.144957079838012,001,2,16,8,relu,relu,adam,5e-4,mse,10
001,007,base,018,21,7,21,002,001,7.934034182768809,3.140260295857001,001,1,16,0,relu,none,adam,5e-4,mse,10
001,007,base,019,21,7,28,002,001,5.1281381676190785,3.0363034766379875,001,1,32,0,relu,none,adam,5e-4,mse,10
001,007,base,020,21,7,35,002,001,4.285088541421041,3.0352370848923846,001,1,32,0,relu,none,adam,0.001,mse,10
001,007,base,021,28,7,7,002,001,9.694205560255638,4.734163982843587,001,2,32,32,relu,relu,adam,5e-4,mse,10
001,007,base,022,28,7,14,002,001,6.737530516521575,4.738644576191863,001,2,32,8,relu,relu,adam,5e-4,mse,10
001,007,base,023,28,7,21,002,001,4.747594188307031,4.680087870363491,001,1,16,0,relu,none,adam,0.001,mse,10
001,007,base,024,28,7,28,002,001,3.914302152178562,4.6574818612966205,001,1,16,0,relu,none,adam,0.002,mse,10
001,007,base,025,28,7,35,002,001,3.3564539374454205,4.612549554698644,001,1,16,0,relu,none,adam,0.002,mse,10
001,007,base,001,0,7,7,002,002,4.911037168725301,23.584044315399264,001,1,32,0,relu,none,adam,0.001,mse,10
001,007,base,002,0,7,14,002,002,6.741769616248076,29.19668061145819,001,2,32,32,relu,relu,adam,5e-4,mse,10
001,007,base,003,0,7,21,002,002,2.6388398426875797,33.6313076947884,001,2,64,16,relu,relu,adam,0.005,mse,10
001,007,base,004,0,7,28,002,002,3.921140846510812,35.054180935424796,001,2,16,8,relu,relu,adam,0.005,mse,10
001,007,base,005,0,7,35,002,002,5.773293907627124,38.91094742977087,001,2,16,16,relu,relu,adam,5e-4,mse,10
001,007,base,006,7,7,7,002,002,6.109651498339821,32.49487125605254,001,1,16,0,relu,none,adam,0.002,mse,10
001,007,base,007,7,7,14,002,002,7.015181470934971,36.95120791293389,001,2,64,8,relu,relu,adam,5e-4,mse,10
001,007,base,008,7,7,21,002,002,1.5417089426610353,40.00218101066342,001,2,32,16,relu,relu,adam,0.001,mse,50
001,007,base,009,7,7,28,002,002,1.2759668999828706,36.36967916609222,001,2,16,32,relu,relu,adam,0.002,mse,100
001,007,base,010,7,7,35,002,002,3.840725635768629,43.362392564087564,001,2,32,32,relu,relu,adam,5e-4,mse,10
001,007,base,011,14,7,7,002,002,6.973895062151465,41.066115178962,001,2,16,16,relu,relu,adam,0.002,mse,10
001,007,base,012,14,7,14,002,002,6.20709538877874,42.841911228887604,001,2,16,8,relu,relu,adam,0.002,mse,10
001,007,base,013,14,7,21,002,002,5.047097814880177,45.65703382435972,001,2,64,8,relu,relu,adam,5e-4,mse,10
