number_xy,number_combination_features,name_data_set,number_grid_combinations_kNp_dates_train_test,number_combination_kNp,k,N,p,group_dates_train_test,number_dates_train_test,number_hyp_par_grid,number_hyp_par_subgrid
001,000,age,003,001,0,7,7,006,001,001,0
001,000,age,003,001,0,7,7,006,002,001,0
001,000,age,003,001,0,7,7,006,003,001,0
001,000,age,003,001,0,7,7,006,004,001,0
001,000,age,003,002,0,7,14,006,001,001,0
001,000,age,003,002,0,7,14,006,002,001,0
001,000,age,003,002,0,7,14,006,003,001,0
001,000,age,003,002,0,7,14,006,004,001,0
001,000,age,003,003,0,7,21,006,001,001,0
001,000,age,003,003,0,7,21,006,002,001,0
001,000,age,003,003,0,7,21,006,003,001,0
001,000,age,003,003,0,7,21,006,004,001,0
001,000,age,003,004,0,7,28,006,001,001,0
001,000,age,003,004,0,7,28,006,002,001,0
001,000,age,003,004,0,7,28,006,003,001,0
001,000,age,003,004,0,7,28,006,004,001,0
001,000,age,003,005,0,7,35,006,001,001,0
001,000,age,003,005,0,7,35,006,002,001,0
001,000,age,003,005,0,7,35,006,003,001,0
001,000,age,003,005,0,7,35,006,004,001,0
001,000,age,003,006,7,7,7,006,001,001,0
001,000,age,003,006,7,7,7,006,002,001,0
001,000,age,003,006,7,7,7,006,003,001,0
001,000,age,003,006,7,7,7,006,004,001,0
001,000,age,003,007,7,7,14,006,001,001,0
001,000,age,003,007,7,7,14,006,002,001,0
001,000,age,003,007,7,7,14,006,003,001,0
001,000,age,003,007,7,7,14,006,004,001,0
001,000,age,003,008,7,7,21,006,001,001,0
001,000,age,003,008,7,7,21,006,002,001,0
001,000,age,003,008,7,7,21,006,003,001,0
001,000,age,003,008,7,7,21,006,004,001,0
001,000,age,003,009,7,7,28,006,001,001,0
001,000,age,003,009,7,7,28,006,002,001,0
001,000,age,003,009,7,7,28,006,003,001,0
001,000,age,003,009,7,7,28,006,004,001,0
001,000,age,003,010,7,7,35,006,001,001,0
001,000,age,003,010,7,7,35,006,002,001,0
001,000,age,003,010,7,7,35,006,003,001,0
001,000,age,003,010,7,7,35,006,004,001,0
001,000,age,003,011,14,7,7,006,001,001,0
001,000,age,003,011,14,7,7,006,002,001,0
001,000,age,003,011,14,7,7,006,003,001,0
001,000,age,003,011,14,7,7,006,004,001,0
001,000,age,003,012,14,7,14,006,001,001,0
001,000,age,003,012,14,7,14,006,002,001,0
001,000,age,003,012,14,7,14,006,003,001,0
001,000,age,003,012,14,7,14,006,004,001,0
001,000,age,003,013,14,7,21,006,001,001,0
001,000,age,003,013,14,7,21,006,002,001,0
001,000,age,003,013,14,7,21,006,003,001,0
001,000,age,003,013,14,7,21,006,004,001,0
001,000,age,003,014,14,7,28,006,001,001,0
001,000,age,003,014,14,7,28,006,002,001,0
001,000,age,003,014,14,7,28,006,003,001,0
001,000,age,003,014,14,7,28,006,004,001,0
001,000,age,003,015,14,7,35,006,001,001,0
001,000,age,003,015,14,7,35,006,002,001,0
001,000,age,003,015,14,7,35,006,003,001,0
001,000,age,003,015,14,7,35,006,004,001,0
001,000,age,003,016,21,7,7,006,001,001,0
001,000,age,003,016,21,7,7,006,002,001,0
001,000,age,003,016,21,7,7,006,003,001,0
001,000,age,003,016,21,7,7,006,004,001,0
001,000,age,003,017,21,7,14,006,001,001,0
001,000,age,003,017,21,7,14,006,002,001,0
001,000,age,003,017,21,7,14,006,003,001,0
001,000,age,003,017,21,7,14,006,004,001,0
001,000,age,003,018,21,7,21,006,001,001,0
001,000,age,003,018,21,7,21,006,002,001,0
001,000,age,003,018,21,7,21,006,003,001,0
001,000,age,003,018,21,7,21,006,004,001,0
001,000,age,003,019,21,7,28,006,001,001,0
001,000,age,003,019,21,7,28,006,002,001,0
001,000,age,003,019,21,7,28,006,003,001,0
001,000,age,003,019,21,7,28,006,004,001,0
001,000,age,003,020,21,7,35,006,001,001,0
001,000,age,003,020,21,7,35,006,002,001,0
001,000,age,003,020,21,7,35,006,003,001,0
001,000,age,003,020,21,7,35,006,004,001,0
001,000,age,003,021,28,7,7,006,001,001,0
001,000,age,003,021,28,7,7,006,002,001,0
001,000,age,003,021,28,7,7,006,003,001,0
001,000,age,003,021,28,7,7,006,004,001,0
001,000,age,003,022,28,7,14,006,001,001,0
001,000,age,003,022,28,7,14,006,002,001,0
001,000,age,003,022,28,7,14,006,003,001,0
001,000,age,003,022,28,7,14,006,004,001,0
001,000,age,003,023,28,7,21,006,001,001,0
001,000,age,003,023,28,7,21,006,002,001,0
001,000,age,003,023,28,7,21,006,003,001,0
001,000,age,003,023,28,7,21,006,004,001,0
001,000,age,003,024,28,7,28,006,001,001,0
001,000,age,003,024,28,7,28,006,002,001,0
001,000,age,003,024,28,7,28,006,003,001,0
001,000,age,003,024,28,7,28,006,004,001,0
001,000,age,003,025,28,7,35,006,001,001,0
001,000,age,003,025,28,7,35,006,002,001,0
001,000,age,003,025,28,7,35,006,003,001,0
001,000,age,003,025,28,7,35,006,004,001,0
