number_xy,number_combination_features,name_data_set,number_grid_combinations_kNp_dates_train_test,number_combination_kNp,k,N,p,group_dates_train_test,number_dates_train_test,number_hyp_par_grid,number_hyp_par_subgrid
001,002,base,002,001,0,7,7,002,001,003,0
001,002,base,002,001,0,7,7,002,002,003,0
001,002,base,002,001,0,7,7,002,003,003,0
001,002,base,002,001,0,7,7,002,004,003,0
001,002,base,002,001,0,7,7,002,005,003,0
001,002,base,002,001,0,7,7,002,006,003,0
001,002,base,002,001,0,7,7,002,007,003,0
001,002,base,002,001,0,7,7,002,008,003,0
001,002,base,002,001,0,7,7,002,009,003,0
001,002,base,002,001,0,7,7,002,010,003,0
001,002,base,002,001,0,7,7,002,011,003,0
001,002,base,002,001,0,7,7,002,012,003,0
001,002,base,002,002,0,7,14,002,001,003,0
001,002,base,002,002,0,7,14,002,002,003,0
001,002,base,002,002,0,7,14,002,003,003,0
001,002,base,002,002,0,7,14,002,004,003,0
001,002,base,002,002,0,7,14,002,005,003,0
001,002,base,002,002,0,7,14,002,006,003,0
001,002,base,002,002,0,7,14,002,007,003,0
001,002,base,002,002,0,7,14,002,008,003,0
001,002,base,002,002,0,7,14,002,009,003,0
001,002,base,002,002,0,7,14,002,010,003,0
001,002,base,002,002,0,7,14,002,011,003,0
001,002,base,002,002,0,7,14,002,012,003,0
001,002,base,002,003,0,7,21,002,001,003,0
001,002,base,002,003,0,7,21,002,002,003,0
001,002,base,002,003,0,7,21,002,003,003,0
001,002,base,002,003,0,7,21,002,004,003,0
001,002,base,002,003,0,7,21,002,005,003,0
001,002,base,002,003,0,7,21,002,006,003,0
001,002,base,002,003,0,7,21,002,007,003,0
001,002,base,002,003,0,7,21,002,008,003,0
001,002,base,002,003,0,7,21,002,009,003,0
001,002,base,002,003,0,7,21,002,010,003,0
001,002,base,002,003,0,7,21,002,011,003,0
001,002,base,002,003,0,7,21,002,012,003,0
001,002,base,002,004,0,7,28,002,001,003,0
001,002,base,002,004,0,7,28,002,002,003,0
001,002,base,002,004,0,7,28,002,003,003,0
001,002,base,002,004,0,7,28,002,004,003,0
001,002,base,002,004,0,7,28,002,005,003,0
001,002,base,002,004,0,7,28,002,006,003,0
001,002,base,002,004,0,7,28,002,007,003,0
001,002,base,002,004,0,7,28,002,008,003,0
001,002,base,002,004,0,7,28,002,009,003,0
001,002,base,002,004,0,7,28,002,010,003,0
001,002,base,002,004,0,7,28,002,011,003,0
001,002,base,002,004,0,7,28,002,012,003,0
001,002,base,002,005,0,7,35,002,001,003,0
001,002,base,002,005,0,7,35,002,002,003,0
001,002,base,002,005,0,7,35,002,003,003,0
001,002,base,002,005,0,7,35,002,004,003,0
001,002,base,002,005,0,7,35,002,005,003,0
001,002,base,002,005,0,7,35,002,006,003,0
001,002,base,002,005,0,7,35,002,007,003,0
001,002,base,002,005,0,7,35,002,008,003,0
001,002,base,002,005,0,7,35,002,009,003,0
001,002,base,002,005,0,7,35,002,010,003,0
001,002,base,002,005,0,7,35,002,011,003,0
001,002,base,002,005,0,7,35,002,012,003,0
001,002,base,002,006,7,7,7,002,001,003,0
