number_xy,number_combination_features,name_data_set,number_combination_kNp,k,N,p,group_dates_train_test,number_dates_train_test,rmse_train,rmse_test,number_hyp_par_grid_xgb,nrounds,eta,gamma,max_depth,min_child_weight,max_delta_step,subsample,colsample_bytree,colsample_bylevel,colsample_bynode,lambda,alpha
001,008,base,001,0,7,7,002,001,12.876583864504966,2.2172271270013817,006,10,0.1,0,8,1,5,1,1,1,1,1,0
001,008,base,002,0,7,14,002,001,13.431087956168266,2.4320745926570897,006,10,0.1,0,8,1,5,1,1,1,1,1,0
001,008,base,003,0,7,21,002,001,13.626543354073414,1.8841897207152085,006,10,0.1,0,7,1,5,1,1,1,1,1,0
001,008,base,004,0,7,28,002,001,12.285488208680928,1.9270822871021298,006,10,0.1,0,4,1,5,1,1,1,1,1,0
001,008,base,005,0,7,35,002,001,5.464832907052191,1.8679005065896233,006,10,0.1,0,3,1,0,1,1,1,1,1,0
001,008,base,006,7,7,7,002,001,13.478074907945587,2.7003938132856775,006,10,0.1,0,7,1,5,1,1,1,1,1,0
001,008,base,007,7,7,14,002,001,13.613481431785285,3.0024391238480357,006,10,0.1,0,8,1,5,1,1,1,1,1,0
001,008,base,008,7,7,21,002,001,12.283453637500468,2.4253971480014282,006,10,0.1,0,4,1,5,1,1,1,1,1,0
001,008,base,009,7,7,28,002,001,9.270662094888493,2.358765169353032,006,10,0.1,0,3,1,5,1,1,1,1,1,0
001,008,base,010,7,7,35,002,001,4.592393408018645,2.055885614602769,006,10,0.1,0,3,1,10,1,1,1,1,1,0
001,008,base,011,14,7,7,002,001,13.61415747657168,3.2943900531231582,006,10,0.1,0,7,1,5,1,1,1,1,1,0
001,008,base,012,14,7,14,002,001,12.289295361968778,2.9941363964101986,006,10,0.1,0,8,1,5,1,1,1,1,1,0
001,008,base,013,14,7,21,002,001,9.272157798017277,3.0587466303388267,006,10,0.1,0,5,1,5,1,1,1,1,1,0
001,008,base,014,14,7,28,002,001,6.423109638545698,3.1772127564245176,006,10,0.1,0,3,1,5,1,1,1,1,1,0
001,008,base,015,14,7,35,002,001,4.100288511371166,2.909449562769644,006,10,0.1,0,4,1,5,1,1,1,1,1,0
001,008,base,016,21,7,7,002,001,12.303207701414372,3.5034256046484544,006,10,0.1,0,5,1,5,1,1,1,1,1,0
001,008,base,017,21,7,14,002,001,9.279537560899199,3.609743034837712,006,10,0.1,0,3,1,5,1,1,1,1,1,0
001,008,base,018,21,7,21,002,001,6.411413318140931,3.4509690821308903,006,10,0.1,0,4,1,5,1,1,1,1,1,0
001,008,base,019,21,7,28,002,001,4.1004898193651815,3.206950491339547,006,10,0.1,0,4,1,5,1,1,1,1,1,0
001,008,base,020,21,7,35,002,001,3.4599335104928954,3.150828282308667,006,10,0.1,0,4,1,5,1,1,1,1,1,0
001,008,base,021,28,7,7,002,001,9.292480464462246,5.178469415795001,006,10,0.1,0,3,1,5,1,1,1,1,1,0
001,008,base,022,28,7,14,002,001,6.419985435343204,5.248609649909276,006,10,0.1,0,3,1,5,1,1,1,1,1,0
001,008,base,023,28,7,21,002,001,4.115643138494901,4.984448165683744,006,10,0.1,0,4,1,5,1,1,1,1,1,0
001,008,base,024,28,7,28,002,001,3.464257976191796,4.813352351451553,006,10,0.1,0,4,1,5,1,1,1,1,1,0
001,008,base,025,28,7,35,002,001,2.9382679974623955,4.7667747190063565,006,10,0.1,0,3,1,5,1,1,1,1,1,0
001,008,base,001,0,7,7,002,002,0.6553186726140211,48.743799202158996,006,25,0.5,0,3,1,15,1,1,1,1,1,0
001,008,base,002,0,7,14,002,002,0.0022044043964172663,45.4829666800004,006,25,0.7,0,6,1,0,1,1,1,1,1,0
001,008,base,003,0,7,21,002,002,0.040792368847141436,46.125264834445524,006,10,0.7,0,8,1,0,1,1,1,1,1,0
001,008,base,004,0,7,28,002,002,3.495038197078683e-4,46.75837322139587,006,50,0.7,0,4,1,0,1,1,1,1,1,0
001,008,base,005,0,7,35,002,002,3.680699811310479e-4,47.29047702703073,006,50,0.7,0,8,1,10,1,1,1,1,1,0
001,008,base,006,7,7,7,002,002,0.024337977268969288,48.62031910811936,006,25,0.5,0,6,1,15,1,1,1,1,1,0
001,008,base,007,7,7,14,002,002,0.5634486737734026,50.79822035748228,006,25,0.5,0,3,1,20,1,1,1,1,1,0
001,008,base,008,7,7,21,002,002,3.753621661179067e-4,53.29325847286697,006,50,0.7,0,8,1,0,1,1,1,1,1,0
001,008,base,009,7,7,28,002,002,0.6135925392769954,52.72087840728962,006,10,0.7,0,3,1,10,1,1,1,1,1,0
001,008,base,010,7,7,35,002,002,3.639990986118342e-4,52.808781424326554,006,100,0.3,0,8,1,10,1,1,1,1,1,0
001,008,base,011,14,7,7,002,002,0.0640046456138457,56.14431411319768,006,25,0.7,0,4,1,0,1,1,1,1,1,0
001,008,base,012,14,7,14,002,002,1.0805079487832594,53.94880656633967,006,10,0.7,0,3,1,20,1,1,1,1,1,0
001,008,base,013,14,7,21,002,002,0.006233936126352808,55.841640996214686,006,50,0.7,0,3,1,15,1,1,1,1,1,0
001,008,base,014,14,7,28,002,002,3.503546536566755e-4,58.78039011012411,006,150,0.5,0,4,1,10,1,1,1,1,1,0
001,008,base,015,14,7,35,002,002,3.451301882612654e-4,61.136332112762844,006,100,0.5,0,8,1,5,1,1,1,1,1,0
001,008,base,016,21,7,7,002,002,1.4717573176079966,56.78675529392869,006,10,0.7,0,3,1,20,1,1,1,1,1,0
001,008,base,017,21,7,14,002,002,0.9752473367907585,57.73785926798328,006,10,0.7,0,3,1,15,1,1,1,1,1,0
001,008,base,018,21,7,21,002,002,0.0349508735842683,60.34677214067259,006,50,0.5,0,3,1,0,1,1,1,1,1,0
001,008,base,019,21,7,28,002,002,3.681025296065835e-4,63.14869030795539,006,100,0.5,0,8,1,5,1,1,1,1,1,0
001,008,base,020,21,7,35,002,002,3.550018844572036e-4,62.642510003942604,006,50,0.7,0,7,1,0,1,1,1,1,1,0
001,008,base,021,28,7,7,002,002,5.956146596022094e-4,60.81134633486904,006,50,0.5,0,6,1,15,1,1,1,1,1,0
001,008,base,022,28,7,14,002,002,0.5652745199115193,62.667064502846046,006,10,0.7,0,3,1,0,1,1,1,1,1,0
001,008,base,023,28,7,21,002,002,4.2217440389285827e-4,64.87642792308482,006,100,0.7,0,3,1,5,1,1,1,1,1,0
001,008,base,024,28,7,28,002,002,0.011953827852402406,63.737132044957484,006,10,0.7,0,8,1,0,1,1,1,1,1,0
001,008,base,025,28,7,35,002,002,3.9182072097941503e-4,63.393239161727365,006,50,0.5,0,8,1,5,1,1,1,1,1,0
001,008,base,001,0,7,7,002,003,11.059690541843,13.14807879331039,006,10,0.3,0,3,1,20,1,1,1,1,1,0
001,008,base,002,0,7,14,002,003,11.009635545633117,13.011049768275257,006,10,0.3,0,3,1,20,1,1,1,1,1,0
001,008,base,003,0,7,21,002,003,10.530715671528252,13.220344997287668,006,25,0.1,0,3,1,25,1,1,1,1,1,0
001,008,base,004,0,7,28,002,003,10.557034794903677,12.77393548381881,006,25,0.1,0,3,1,25,1,1,1,1,1,0
001,008,base,005,0,7,35,002,003,11.057194981455146,13.354915298774802,006,10,0.3,0,3,1,20,1,1,1,1,1,0
001,008,base,006,7,7,7,002,003,20.653518654542605,14.395668348601568,006,25,0.1,0,3,1,15,1,1,1,1,1,0
001,008,base,007,7,7,14,002,003,20.66354929884845,14.467543334770962,006,25,0.1,0,3,1,15,1,1,1,1,1,0
001,008,base,008,7,7,21,002,003,20.654514189905854,14.598658426010825,006,25,0.1,0,3,1,15,1,1,1,1,1,0
001,008,base,009,7,7,28,002,003,21.856078684073616,14.449643203548385,006,10,0.7,0,3,1,5,1,1,1,1,1,0
001,008,base,010,7,7,35,002,003,21.156859779848894,15.22834464597063,006,25,0.1,0,3,1,15,1,1,1,1,1,0
001,008,base,011,14,7,7,002,003,24.421003883783403,10.826828376500869,006,10,0.3,0,3,1,10,1,1,1,1,1,0
001,008,base,012,14,7,14,002,003,21.73165741309335,10.899691838437143,006,10,0.7,0,4,1,5,1,1,1,1,1,0
001,008,base,013,14,7,21,002,003,20.551145385271653,11.048043624185805,006,25,0.3,0,5,1,5,1,1,1,1,1,0
001,008,base,014,14,7,28,002,003,22.106644826210893,10.942543812240238,006,10,0.7,0,4,1,5,1,1,1,1,1,0
