number_xy,number_combination_features,name_data_set,number_combination_kNp,k,N,p,group_dates_train_test,number_dates_train_test,rmse_train,rmse_test,number_hyp_par_grid_nn,nlayers,nneurons_one,nneurons_two,act_function_one,act_function_two,optimizer,learning_rate,loss_function,nepochs
001,001,base,001,0,7,7,006,001,28.746214103994262,12.423992695076596,003,2,32,8,relu,relu,adam,5e-4,mse,10
001,001,base,002,0,7,14,006,001,28.822417684467247,12.41768079156734,003,1,16,0,relu,none,adam,5e-4,mse,10
001,001,base,003,0,7,21,006,001,12.957389051749942,12.674726163442257,003,2,16,8,relu,relu,adam,0.005,mse,50
001,001,base,004,0,7,28,006,001,14.591930022131079,13.418307719176118,003,2,32,8,relu,relu,adam,0.005,mse,25
001,001,base,005,0,7,35,006,001,14.920827091997678,14.422657216194608,003,2,32,8,relu,relu,adam,0.001,mse,50
001,001,base,006,7,7,7,006,001,34.63712608524815,14.504287278965059,003,2,16,8,relu,relu,adam,5e-4,mse,10
001,001,base,007,7,7,14,006,001,32.45253125815658,16.68524943163478,003,2,16,8,relu,relu,adam,5e-4,mse,10
001,001,base,008,7,7,21,006,001,22.26457523136417,17.92730708997115,003,1,16,0,relu,none,adam,0.005,mse,50
001,001,base,009,7,7,28,006,001,21.17000427321419,18.99648968901766,003,1,64,0,relu,none,adam,0.002,mse,25
001,001,base,010,7,7,35,006,001,26.1390907116358,19.981882927280015,003,2,64,8,relu,relu,adam,0.005,mse,10
001,001,base,011,14,7,7,006,001,37.349053500357876,18.027280291664358,003,2,16,16,relu,relu,adam,5e-4,mse,10
001,001,base,012,14,7,14,006,001,34.82267118151121,20.087746622646563,003,2,32,8,relu,relu,adam,5e-4,mse,10
001,001,base,013,14,7,21,006,001,37.793027680265126,21.64201470429196,003,2,16,16,relu,relu,adam,5e-4,mse,10
001,001,base,014,14,7,28,006,001,34.80290107563515,23.59540518664012,003,1,16,0,relu,none,adam,5e-4,mse,10
001,001,base,015,14,7,35,006,001,26.32757185457218,25.288706590752742,003,1,64,0,relu,none,adam,0.005,mse,25
001,001,base,016,21,7,7,006,001,40.48936394469504,20.136512661368627,003,2,16,16,relu,relu,adam,5e-4,mse,10
001,001,base,017,21,7,14,006,001,43.72092142182538,22.93341797000277,003,2,16,8,relu,relu,adam,5e-4,mse,10
001,001,base,018,21,7,21,006,001,39.39361861323557,24.845458288030166,003,2,16,16,relu,relu,adam,5e-4,mse,10
001,001,base,019,21,7,28,006,001,38.84215927573773,26.812542758528448,003,2,16,16,relu,relu,adam,5e-4,mse,10
001,001,base,020,21,7,35,006,001,44.95056470283421,27.859055067696882,003,2,16,8,relu,relu,adam,5e-4,mse,10
001,001,base,021,28,7,7,006,001,41.224882487678336,23.872788227329274,003,2,16,32,relu,relu,adam,5e-4,mse,10
001,001,base,022,28,7,14,006,001,45.61421755065309,25.6661553739265,003,2,16,16,relu,relu,adam,5e-4,mse,10
001,001,base,023,28,7,21,006,001,41.24830394913951,27.523665509610368,003,2,16,32,relu,relu,adam,5e-4,mse,10
001,001,base,024,28,7,28,006,001,44.3218640333861,29.157916516397272,003,2,16,8,relu,relu,adam,5e-4,mse,10
001,001,base,025,28,7,35,006,001,42.81041419099463,29.237067235499925,003,2,16,8,relu,relu,adam,5e-4,mse,10
001,001,base,001,0,7,7,006,002,14.621752736561957,9.24325395653908,003,2,64,32,relu,relu,adam,0.001,mse,10
001,001,base,002,0,7,14,006,002,16.304602038474247,9.996464645923202,003,1,32,0,relu,none,adam,5e-4,mse,25
001,001,base,003,0,7,21,006,002,16.26339565647269,10.159891366966848,003,1,64,0,relu,none,adam,0.001,mse,10
001,001,base,004,0,7,28,006,002,12.985692650669128,10.196554688575185,003,1,64,0,relu,none,adam,0.001,mse,25
001,001,base,005,0,7,35,006,002,15.018902421822663,10.25276259103307,003,1,64,0,relu,none,adam,0.002,mse,10
001,001,base,006,7,7,7,006,002,22.06946520483764,12.783445129431135,003,2,16,32,relu,relu,adam,0.002,mse,10
001,001,base,007,7,7,14,006,002,22.981368391782258,13.245158536211934,003,1,64,0,relu,none,adam,0.001,mse,10
001,001,base,008,7,7,21,006,002,22.78419990448399,13.258790644441163,003,1,64,0,relu,none,adam,0.001,mse,10
001,001,base,009,7,7,28,006,002,22.04916954870705,13.46667150319264,003,2,64,32,relu,relu,adam,0.001,mse,10
001,001,base,010,7,7,35,006,002,23.68156918427474,13.312807206949543,003,2,16,8,relu,relu,adam,0.005,mse,10
001,001,base,011,14,7,7,006,002,28.29075275742984,14.873634072042654,003,2,16,32,relu,relu,adam,5e-4,mse,25
001,001,base,012,14,7,14,006,002,29.245998532521046,15.018549163682206,003,1,32,0,relu,none,adam,0.001,mse,10
001,001,base,013,14,7,21,006,002,29.421641566828733,15.032465842101404,003,2,16,8,relu,relu,adam,5e-4,mse,25
001,001,base,014,14,7,28,006,002,29.544676323222593,14.575873868371621,003,1,32,0,relu,none,adam,5e-4,mse,10
001,001,base,015,14,7,35,006,002,27.814173009666362,13.955181993691408,003,2,64,32,relu,relu,adam,5e-4,mse,10
001,001,base,016,21,7,7,006,002,32.32752099359831,16.06731189115021,003,1,32,0,relu,none,adam,5e-4,mse,10
001,001,base,017,21,7,14,006,002,32.09810341602191,16.104537424956348,003,2,16,32,relu,relu,adam,5e-4,mse,25
001,001,base,018,21,7,21,006,002,31.558819924296902,15.71622655589642,003,2,16,8,relu,relu,adam,0.002,mse,10
001,001,base,019,21,7,28,006,002,30.48168739904313,14.69226473365603,003,2,64,32,relu,relu,adam,5e-4,mse,10
001,001,base,020,21,7,35,006,002,28.55584949241683,13.272997735204976,003,2,16,32,relu,relu,adam,0.001,mse,25
001,001,base,021,28,7,7,006,002,34.245751262882905,17.053139155827488,003,1,16,0,relu,none,adam,5e-4,mse,50
001,001,base,022,28,7,14,006,002,33.537861607153516,16.405461484722625,003,1,16,0,relu,none,adam,5e-4,mse,50
001,001,base,023,28,7,21,006,002,32.37292610097867,15.631486785661803,003,2,16,16,relu,relu,adam,0.005,mse,10
001,001,base,024,28,7,28,006,002,29.234645827918367,14.115741576852402,003,2,16,32,relu,relu,adam,0.002,mse,25
001,001,base,025,28,7,35,006,002,28.058905384243012,10.297039996918018,003,1,16,0,relu,none,adam,0.005,mse,50
001,001,base,001,0,7,7,006,003,13.789830199581004,5.230110855658698,003,2,16,8,relu,relu,adam,0.002,mse,10
001,001,base,002,0,7,14,006,003,14.616231241978262,4.77813835083446,003,2,16,16,relu,relu,adam,5e-4,mse,25
001,001,base,003,0,7,21,006,003,14.618443837960656,4.641500053077019,003,2,32,16,relu,relu,adam,0.001,mse,10
