number_xy,number_combination_features,name_data_set,number_combination_kNp,k,N,p,group_dates_train_test,number_dates_train_test,rmse_train,rmse_test,number_hyp_par_grid_xgb,nrounds,eta,gamma,max_depth,min_child_weight,max_delta_step,subsample,colsample_bytree,colsample_bylevel,colsample_bynode,lambda,alpha
001,005,base,018,21,7,21,002,002,0.2074590783592369,58.38134161701305,006,25,0.7,0,3,1,5,1,1,1,1,1,0
001,005,base,019,21,7,28,002,002,4.649827836308117e-4,61.420601022543536,006,50,0.5,0,8,1,5,1,1,1,1,1,0
001,005,base,020,21,7,35,002,002,0.005066084538035595,61.97548750914055,006,50,0.7,0,3,1,0,1,1,1,1,1,0
001,005,base,021,28,7,7,002,002,0.005901054296043482,54.415624060257585,006,200,0.5,0,3,1,0,1,1,1,1,1,0
001,005,base,022,28,7,14,002,002,6.132394277384196e-4,57.861656034249236,006,150,0.7,0,3,1,10,1,1,1,1,1,0
001,005,base,023,28,7,21,002,002,5.158125466560552e-4,62.493646534835996,006,100,0.7,0,3,1,0,1,1,1,1,1,0
001,005,base,024,28,7,28,002,002,5.203982680097948e-4,63.54851030843394,006,100,0.7,0,3,1,0,1,1,1,1,1,0
001,005,base,025,28,7,35,002,002,4.202065707544675e-4,62.84108452763315,006,50,0.5,0,7,1,5,1,1,1,1,1,0
001,005,base,001,0,7,7,002,003,10.681133717214058,11.761148810710406,006,25,0.1,0,3,1,25,1,1,1,1,1,0
001,005,base,002,0,7,14,002,003,10.733633355447786,12.130495755563523,006,25,0.1,0,3,1,25,1,1,1,1,1,0
001,005,base,003,0,7,21,002,003,10.688263704629515,12.35585933084034,006,25,0.1,0,3,1,25,1,1,1,1,1,0
001,005,base,004,0,7,28,002,003,10.678005377694726,12.379555732726997,006,25,0.1,0,3,1,25,1,1,1,1,1,0
001,005,base,005,0,7,35,002,003,10.768705970032627,13.120813636382138,006,25,0.1,0,3,1,25,1,1,1,1,1,0
001,005,base,006,7,7,7,002,003,17.451768645705368,13.461062882157671,006,10,0.1,0,3,1,0,1,1,1,1,1,0
001,005,base,007,7,7,14,002,003,17.410207965679124,13.78474147012084,006,10,0.1,0,3,1,0,1,1,1,1,1,0
001,005,base,008,7,7,21,002,003,17.040022099936355,13.82599209642392,006,10,0.3,0,5,1,15,1,1,1,1,1,0
001,005,base,009,7,7,28,002,003,20.61169915517144,14.312516991485348,006,25,0.3,0,8,1,5,1,1,1,1,1,0
001,005,base,010,7,7,35,002,003,20.902200937513964,14.4098400896404,006,25,0.3,0,5,1,5,1,1,1,1,1,0
001,005,base,011,14,7,7,002,003,20.542834557566987,10.717145271739064,006,25,0.3,0,5,1,5,1,1,1,1,1,0
001,005,base,012,14,7,14,002,003,20.510854876582158,9.996854421823631,006,25,0.3,0,6,1,5,1,1,1,1,1,0
001,005,base,013,14,7,21,002,003,20.754349175430328,9.41723801020886,006,25,0.3,0,8,1,5,1,1,1,1,1,0
001,005,base,014,14,7,28,002,003,21.001790778751225,9.432134386111619,006,25,0.3,0,7,1,5,1,1,1,1,1,0
001,005,base,015,14,7,35,002,003,22.705402155254646,9.741098335442894,006,10,0.7,0,5,1,5,1,1,1,1,1,0
001,005,base,016,21,7,7,002,003,22.152919904572467,7.822776528709791,006,10,0.7,0,5,1,5,1,1,1,1,1,0
001,005,base,017,21,7,14,002,003,24.734698387799163,7.97662818640401,006,10,0.3,0,4,1,10,1,1,1,1,1,0
001,005,base,018,21,7,21,002,003,25.400004678024526,8.247693040201993,006,10,0.3,0,3,1,10,1,1,1,1,1,0
001,005,base,019,21,7,28,002,003,25.30142472370645,8.241189903468255,006,10,0.3,0,4,1,10,1,1,1,1,1,0
001,005,base,020,21,7,35,002,003,25.551729793211692,8.1467343858368,006,10,0.3,0,4,1,10,1,1,1,1,1,0
001,005,base,021,28,7,7,002,003,27.693716183685886,7.656998935541971,006,25,0.1,0,3,1,10,1,1,1,1,1,0
001,005,base,022,28,7,14,002,003,25.335546632447326,7.463788040926924,006,10,0.3,0,4,1,10,1,1,1,1,1,0
001,005,base,023,28,7,21,002,003,28.192365094069416,7.804097586751803,006,25,0.1,0,3,1,10,1,1,1,1,1,0
001,005,base,024,28,7,28,002,003,28.478238334869236,7.872257020865065,006,25,0.1,0,3,1,10,1,1,1,1,1,0
001,005,base,025,28,7,35,002,003,26.603770730983552,7.612804984422095,006,10,0.3,0,3,1,10,1,1,1,1,1,0
001,005,base,001,0,7,7,002,004,22.14577033258987,8.19408641819284,006,10,0.3,0,8,1,10,1,1,1,1,1,0
001,005,base,002,0,7,14,002,004,22.337803301548647,8.241232243971034,006,10,0.3,0,8,1,10,1,1,1,1,1,0
001,005,base,003,0,7,21,002,004,22.591486976268914,8.347487607840385,006,10,0.3,0,5,1,10,1,1,1,1,1,0
001,005,base,004,0,7,28,002,004,22.776815158885334,8.018890858376587,006,10,0.3,0,5,1,10,1,1,1,1,1,0
001,005,base,005,0,7,35,002,004,23.11403538886227,7.922369503723903,006,10,0.3,0,3,1,10,1,1,1,1,1,0
001,005,base,006,7,7,7,002,004,25.282781703450606,10.050313720720697,006,25,0.1,0,3,1,10,1,1,1,1,1,0
001,005,base,007,7,7,14,002,004,25.424464217628962,10.054241703260255,006,25,0.1,0,3,1,10,1,1,1,1,1,0
001,005,base,008,7,7,21,002,004,25.499745979006626,9.920833248135917,006,25,0.1,0,3,1,10,1,1,1,1,1,0
001,005,base,009,7,7,28,002,004,23.145500048265653,9.475273079624321,006,10,0.3,0,4,1,10,1,1,1,1,1,0
001,005,base,010,7,7,35,002,004,23.399164839846247,9.271423884775091,006,10,0.3,0,4,1,10,1,1,1,1,1,0
001,005,base,011,14,7,7,002,004,28.53414807261598,10.637536762015714,006,10,0.1,0,3,1,20,1,1,1,1,1,0
001,005,base,012,14,7,14,002,004,26.526109303335584,10.33154620751986,006,10,0.1,0,3,1,25,1,1,1,1,1,0
001,005,base,013,14,7,21,002,004,26.470195687176844,10.438120074154591,006,10,0.1,0,3,1,25,1,1,1,1,1,0
001,005,base,014,14,7,28,002,004,26.6797295709219,10.20462728721738,006,10,0.1,0,3,1,25,1,1,1,1,1,0
001,005,base,015,14,7,35,002,004,26.916395277044717,10.48800423371832,006,10,0.1,0,3,1,25,1,1,1,1,1,0
001,005,base,016,21,7,7,002,004,31.177361759370342,10.789880708866285,006,10,0.1,0,3,1,15,1,1,1,1,1,0
001,005,base,017,21,7,14,002,004,28.597889088367193,10.59138274380179,006,10,0.1,0,4,1,20,1,1,1,1,1,0
001,005,base,018,21,7,21,002,004,31.34035357174157,10.46108266857267,006,10,0.1,0,5,1,15,1,1,1,1,1,0
001,005,base,019,21,7,28,002,004,31.644604922213574,10.461549821300025,006,10,0.1,0,5,1,15,1,1,1,1,1,0
001,005,base,020,21,7,35,002,004,31.977408145527107,10.422113515724815,006,10,0.1,0,5,1,15,1,1,1,1,1,0
001,005,base,021,28,7,7,002,004,32.472247773059394,10.851666623227858,006,25,0.1,0,7,1,5,1,1,1,1,1,0
001,005,base,022,28,7,14,002,004,31.36205657570567,10.552982392262045,006,10,0.1,0,6,1,15,1,1,1,1,1,0
001,005,base,023,28,7,21,002,004,31.658858479729957,10.470608729079458,006,10,0.1,0,6,1,15,1,1,1,1,1,0
001,005,base,024,28,7,28,002,004,33.408848473524344,10.478903811238062,006,25,0.1,0,5,1,5,1,1,1,1,1,0
001,005,base,025,28,7,35,002,004,33.764908443670294,10.61204118198504,006,25,0.1,0,5,1,5,1,1,1,1,1,0
001,005,base,001,0,7,7,002,005,17.131033239780688,7.569498479274935,006,25,0.3,0,3,1,5,1,1,1,1,1,0
001,005,base,002,0,7,14,002,005,17.20245214757223,7.280402859207002,006,25,0.3,0,3,1,5,1,1,1,1,1,0
001,005,base,003,0,7,21,002,005,13.800533953581603,7.177857082539981,006,10,0.3,0,7,1,15,1,1,1,1,1,0
001,005,base,004,0,7,28,002,005,17.30538840493798,7.232611481054167,006,25,0.3,0,3,1,5,1,1,1,1,1,0
001,005,base,005,0,7,35,002,005,17.420384212614287,7.152947709449298,006,25,0.3,0,3,1,5,1,1,1,1,1,0
001,005,base,006,7,7,7,002,005,17.506111009393777,9.868047795614668,006,25,0.3,0,4,1,5,1,1,1,1,1,0
001,005,base,007,7,7,14,002,005,17.046877242349076,9.454342202593113,006,25,0.3,0,6,1,5,1,1,1,1,1,0
001,005,base,008,7,7,21,002,005,18.833636609309064,9.332566812764348,006,10,0.7,0,3,1,5,1,1,1,1,1,0
001,005,base,009,7,7,28,002,005,18.867747075807497,9.480108703063683,006,10,0.7,0,3,1,5,1,1,1,1,1,0
001,005,base,010,7,7,35,002,005,17.960216162471994,9.416317041610366,006,25,0.3,0,3,1,5,1,1,1,1,1,0
001,005,base,011,14,7,7,002,005,7.27478167536372,11.936464647306229,006,150,0.1,0,4,1,0,1,1,1,1,1,0
001,005,base,012,14,7,14,002,005,7.261177322981592,11.186549183997158,006,200,0.1,0,3,1,0,1,1,1,1,1,0
001,005,base,013,14,7,21,002,005,9.331722293278025,11.079357879775287,006,50,0.1,0,4,1,20,1,1,1,1,1,0
001,005,base,014,14,7,28,002,005,7.446391908984708,10.55809029552142,006,50,0.3,0,4,1,5,1,1,1,1,1,0
001,005,base,015,14,7,35,002,005,23.28307273273888,10.921764322621419,006,10,0.5,0,4,1,5,1,1,1,1,1,0
001,005,base,016,21,7,7,002,005,4.458020552081813,11.762444733001683,006,200,0.3,0,3,1,20,1,1,1,1,1,0
001,005,base,017,21,7,14,002,005,5.300405207912184,10.930724176507216,006,200,0.1,0,4,1,25,1,1,1,1,1,0
001,005,base,018,21,7,21,002,005,0.14875465626053408,9.236937433099575,006,200,0.1,0,7,1,10,1,1,1,1,1,0
001,005,base,019,21,7,28,002,005,15.41435435478238,10.330546863773607,006,25,0.1,0,5,1,20,1,1,1,1,1,0
001,005,base,020,21,7,35,002,005,13.540012676184045,11.239624859818138,006,25,0.1,0,6,1,20,1,1,1,1,1,0
001,005,base,021,28,7,7,002,005,1.0026414540668118,11.235512256475854,006,200,0.1,0,6,1,10,1,1,1,1,1,0
001,005,base,022,28,7,14,002,005,0.09206764701774675,11.09283656485099,006,200,0.1,0,7,1,15,1,1,1,1,1,0
001,005,base,023,28,7,21,002,005,1.006243538037468,10.992846108875817,006,200,0.1,0,5,1,25,1,1,1,1,1,0
001,005,base,024,28,7,28,002,005,12.047141988171846,12.111901535713162,006,25,0.1,0,6,1,25,1,1,1,1,1,0
