number_xy,number_combination_kNp,k,N,p,group_dates_train_test,number_dates_train_test,rmse_locf_train,rmse_locf_test
001,001,0,7,7,002,001,7.112196097783956,2.098580568870398
001,001,0,7,7,002,002,5.00982640974093,15.893216780206627
001,001,0,7,7,002,003,10.026608198803737,9.481315775629946
001,001,0,7,7,002,004,10.16857905510893,9.024539195566037
001,001,0,7,7,002,005,9.974811701279961,7.89400502377059
001,001,0,7,7,002,006,9.598287276596164,13.623043036976048
001,001,0,7,7,002,007,10.063123892751078,17.495453954982395
001,001,0,7,7,002,008,10.923746319731988,18.897786002319787
001,001,0,7,7,002,009,12.155271048010993,14.329583264063862
001,001,0,7,7,002,010,12.367308968640987,9.779483517668018
001,001,0,7,7,002,011,12.05233731547529,6.639616483069901
001,001,0,7,7,002,012,11.804989697290319,6.352396490811211
001,002,0,7,14,002,001,7.38812666272145,2.098580568870398
001,002,0,7,14,002,002,5.082836538068805,15.893216780206627
001,002,0,7,14,002,003,10.142250648990606,9.481315775629946
001,002,0,7,14,002,004,10.258744944002018,9.024539195566037
001,002,0,7,14,002,005,10.043654713300333,7.89400502377059
001,002,0,7,14,002,006,9.651651357563576,13.623043036976048
001,002,0,7,14,002,007,10.113978923225158,17.495453954982395
001,002,0,7,14,002,008,10.974370038995813,18.897786002319787
001,002,0,7,14,002,009,12.205540416242956,14.329583264063862
001,002,0,7,14,002,010,12.413303352099097,9.779483517668018
001,002,0,7,14,002,011,12.091001103808885,6.639616483069901
001,002,0,7,14,002,012,11.84037243679202,6.352396490811211
001,003,0,7,21,002,001,6.497252166438187,2.098580568870398
001,003,0,7,21,002,002,4.418224763315194,15.893216780206627
001,003,0,7,21,002,003,10.047161516839198,9.481315775629946
001,003,0,7,21,002,004,10.189479121355662,9.024539195566037
001,003,0,7,21,002,005,9.98547331974578,7.89400502377059
001,003,0,7,21,002,006,9.597905587505362,13.623043036976048
001,003,0,7,21,002,007,10.072740138448605,17.495453954982395
001,003,0,7,21,002,008,10.948169314890857,18.897786002319787
001,003,0,7,21,002,009,12.195029725261026,14.329583264063862
001,003,0,7,21,002,010,12.405652913702149,9.779483517668018
001,003,0,7,21,002,011,12.08200441112786,6.639616483069901
001,003,0,7,21,002,012,11.83016899924615,6.352396490811211
001,004,0,7,28,002,001,5.754225500544023,2.098580568870398
001,004,0,7,28,002,002,3.872983346207417,15.893216780206627
001,004,0,7,28,002,003,10.01696322439121,9.481315775629946
001,004,0,7,28,002,004,10.169745759533978,9.024539195566037
001,004,0,7,28,002,005,9.966756972129135,7.89400502377059
001,004,0,7,28,002,006,9.577360533982786,13.623043036976048
001,004,0,7,28,002,007,10.060261465761895,17.495453954982395
001,004,0,7,28,002,008,10.9462086697033,18.897786002319787
001,004,0,7,28,002,009,12.203920979077015,14.329583264063862
001,004,0,7,28,002,010,12.415135650500924,9.779483517668018
001,004,0,7,28,002,011,12.088167010610551,6.639616483069901
001,004,0,7,28,002,012,11.834432096415412,6.352396490811211
001,005,0,7,35,002,001,5.49837638372846,2.098580568870398
001,005,0,7,35,002,002,3.625180751889617,15.893216780206627
001,005,0,7,35,002,003,10.075956739414842,9.481315775629946
001,005,0,7,35,002,004,10.216531780101937,9.024539195566037
001,005,0,7,35,002,005,10.000332588704271,7.89400502377059
001,005,0,7,35,002,006,9.600470777306052,13.623043036976048
001,005,0,7,35,002,007,10.085316058508033,17.495453954982395
001,005,0,7,35,002,008,10.975634111017417,18.897786002319787
001,005,0,7,35,002,009,12.237732082130043,14.329583264063862
001,005,0,7,35,002,010,12.446560026450173,9.779483517668018
001,005,0,7,35,002,011,12.113707270166373,6.639616483069901
001,005,0,7,35,002,012,11.857177596310967,6.352396490811211
001,006,7,7,7,002,001,11.970201096293842,2.6169609948344377
001,006,7,7,7,002,002,8.113540870331859,24.807371089604768
001,006,7,7,7,002,003,16.18444222742217,12.194165589272792
001,006,7,7,7,002,004,15.575116023016804,10.620191219486658
001,006,7,7,7,002,005,14.645384533551628,12.111345287980386
001,006,7,7,7,002,006,14.195643522775887,19.578900207451216
001,006,7,7,7,002,007,14.582316786035655,25.62787308357599
001,006,7,7,7,002,008,16.11057298167116,32.56103580403392
001,006,7,7,7,002,009,18.775659847955975,21.322574279693423
001,006,7,7,7,002,010,19.049026379494414,13.5680580254346
001,006,7,7,7,002,011,18.363817895315442,7.821962579273139
001,006,7,7,7,002,012,17.944007321105115,6.619706399872491
001,007,7,7,14,002,001,11.679652636713376,2.6169609948344377
001,007,7,7,14,002,002,7.731438930043623,24.807371089604768
001,007,7,7,14,002,003,16.223663973568755,12.194165589272792
001,007,7,7,14,002,004,15.594142660581234,10.620191219486658
001,007,7,7,14,002,005,14.646662800201133,12.111345287980386
001,007,7,7,14,002,006,14.191155304938668,19.578900207451216
001,007,7,7,14,002,007,14.582558664870767,25.62787308357599
001,007,7,7,14,002,008,16.125219224415556,32.56103580403392
001,007,7,7,14,002,009,18.808375793778687,21.322574279693423
001,007,7,7,14,002,010,19.080076712483628,13.5680580254346
001,007,7,7,14,002,011,18.38690872308594,7.821962579273139
001,007,7,7,14,002,012,17.963429032584386,6.619706399872491
001,008,7,7,21,002,001,9.35202210542284,2.6169609948344377
001,008,7,7,21,002,002,6.117673244455438,24.807371089604768
001,008,7,7,21,002,003,15.969069917495219,12.194165589272792
001,008,7,7,21,002,004,15.381036089498023,10.620191219486658
001,008,7,7,21,002,005,14.456303682380405,12.111345287980386
001,008,7,7,21,002,006,14.027402256289436,19.578900207451216
001,008,7,7,21,002,007,14.443528181476779,25.62787308357599
001,008,7,7,21,002,008,16.026348290909795,32.56103580403392
001,008,7,7,21,002,009,18.75591541828353,21.322574279693423
001,008,7,7,21,002,010,19.035886418851433,13.5680580254346
001,008,7,7,21,002,011,18.342528263026395,7.821962579273139
001,008,7,7,21,002,012,17.91820267878231,6.619706399872491
001,009,7,7,28,002,001,8.130629917610497,2.6169609948344377
001,009,7,7,28,002,002,5.239428680994313,24.807371089604768
001,009,7,7,28,002,003,15.966319915607027,12.194165589272792
001,009,7,7,28,002,004,15.366793046379566,10.620191219486658
001,009,7,7,28,002,005,14.42981331116664,12.111345287980386
001,009,7,7,28,002,006,14.000063548406864,19.578900207451216
001,009,7,7,28,002,007,14.424257346567275,25.62787308357599
001,009,7,7,28,002,008,16.025892580310728,32.56103580403392
001,009,7,7,28,002,009,18.778100232612882,21.322574279693423
001,009,7,7,28,002,010,19.057669343863786,13.5680580254346
001,009,7,7,28,002,011,18.357158813007164,7.821962579273139
001,009,7,7,28,002,012,17.92944889322254,6.619706399872491
001,010,7,7,35,002,001,8.433412653225966,2.6169609948344377
001,010,7,7,35,002,002,5.2233881517444,24.807371089604768
001,010,7,7,35,002,003,16.158418492815947,12.194165589272792
001,010,7,7,35,002,004,15.503604893891046,10.620191219486658
001,010,7,7,35,002,005,14.526304193204599,12.111345287980386
001,010,7,7,35,002,006,14.074192086328894,19.578900207451216
001,010,7,7,35,002,007,14.49360979601334,25.62787308357599
001,010,7,7,35,002,008,16.097836838444877,32.56103580403392
001,010,7,7,35,002,009,18.854894864033614,21.322574279693423
001,010,7,7,35,002,010,19.127585407891015,13.5680580254346
001,010,7,7,35,002,011,18.414716361001233,7.821962579273139
001,010,7,7,35,002,012,17.98172869731036,6.619706399872491
001,011,14,7,7,002,001,15.736672365619649,3.608351704061291
001,011,14,7,7,002,002,10.316586289210298,32.04124700185625
001,011,14,7,7,002,003,21.344958953515764,16.152975102165012
001,011,14,7,7,002,004,20.266643582627665,11.803682606581857
001,011,14,7,7,002,005,18.770086015579633,15.787439413763185
001,011,14,7,7,002,006,18.23672462368174,24.540863233675548
001,011,14,7,7,002,007,18.680201330626463,34.94259361416734
001,011,14,7,7,002,008,20.732815664787815,42.93471175732068
001,011,14,7,7,002,009,24.541520939012724,26.193469149521917
001,011,14,7,7,002,010,24.76685004166955,15.954723171818484
001,011,14,7,7,002,011,23.675300317236236,7.645306025618079
001,011,14,7,7,002,012,23.08555684367628,8.915092441440898
001,012,14,7,14,002,001,14.250591744884318,3.608351704061291
001,012,14,7,14,002,002,9.1104335791443,32.04124700185625
001,012,14,7,14,002,003,21.226479520538042,16.152975102165012
