number_xy,number_combination_features,name_data_set,number_combination_kNp,k,N,p,group_dates_train_test,number_dates_train_test,rmse_train,rmse_test,number_hyp_par_grid_lstm,nlayers,nneurons_one,nneurons_two,act_function_one,act_function_two,optimizer,learning_rate,loss_function,nepochs
001,005,base,001,0,7,7,002,001,14.155508912607699,2.0013896281626975,001,2,16,8,relu,relu,adam,5e-4,mse,10
001,005,base,002,0,7,14,002,001,14.742206383253993,2.0049888818851738,001,2,32,8,relu,relu,adam,5e-4,mse,10
001,005,base,003,0,7,21,002,001,15.2480478458599,1.8442155677684737,001,2,16,8,relu,relu,adam,5e-4,mse,10
001,005,base,004,0,7,28,002,001,13.285161715278413,2.2998724619950304,001,2,16,8,relu,relu,adam,5e-4,mse,10
001,005,base,005,0,7,35,002,001,11.096675095956238,1.6077818160211665,001,1,16,0,relu,none,adam,5e-4,mse,10
001,005,base,006,7,7,7,002,001,15.736626950607704,1.8473137271021116,001,2,16,8,relu,relu,adam,5e-4,mse,10
001,005,base,007,7,7,14,002,001,15.446719657189051,1.8747739912753834,001,2,16,8,relu,relu,adam,5e-4,mse,10
001,005,base,008,7,7,21,002,001,13.718154944445638,2.0330241642490043,001,1,16,0,relu,none,adam,5e-4,mse,10
001,005,base,009,7,7,28,002,001,10.562395816942779,1.9534863271677552,001,1,16,0,relu,none,adam,5e-4,mse,10
001,005,base,010,7,7,35,002,001,8.172807003596173,1.8699505848262488,001,2,16,8,relu,relu,adam,5e-4,mse,10
001,005,base,011,14,7,7,002,001,15.38600133456754,2.7740427812945714,001,2,16,16,relu,relu,adam,5e-4,mse,10
001,005,base,012,14,7,14,002,001,13.711468276579147,2.773805317786833,001,2,16,8,relu,relu,adam,5e-4,mse,10
001,005,base,013,14,7,21,002,001,10.671561936227201,2.7496817165068332,001,1,16,0,relu,none,adam,5e-4,mse,10
001,005,base,014,14,7,28,002,001,7.777763094613722,2.7698281779097127,001,2,16,16,relu,relu,adam,5e-4,mse,10
001,005,base,015,14,7,35,002,001,5.456427146561775,2.7492912119866695,001,1,16,0,relu,none,adam,0.001,mse,10
001,005,base,016,21,7,7,002,001,13.119711655614713,3.0540040307937337,001,1,32,0,relu,none,adam,5e-4,mse,10
001,005,base,017,21,7,14,002,001,10.162661617987409,3.0373980059934866,001,2,16,32,relu,relu,adam,5e-4,mse,10
001,005,base,018,21,7,21,002,001,7.228047693512456,3.063418643301217,001,2,32,16,relu,relu,adam,5e-4,mse,10
001,005,base,019,21,7,28,002,001,4.768358796541251,3.0531325080385323,001,2,32,8,relu,relu,adam,0.001,mse,10
001,005,base,020,21,7,35,002,001,4.277956516642739,3.060501130777887,001,2,64,32,relu,relu,adam,0.001,mse,10
001,005,base,021,28,7,7,002,001,9.41621018456583,4.561969445972794,001,1,64,0,relu,none,adam,5e-4,mse,10
001,005,base,022,28,7,14,002,001,6.632007169303858,4.6076080097309235,001,2,64,16,relu,relu,adam,5e-4,mse,10
001,005,base,023,28,7,21,002,001,4.214464110905362,4.58180324027568,001,2,64,8,relu,relu,adam,0.001,mse,10
001,005,base,024,28,7,28,002,001,3.8028956190185235,4.643446179842436,001,2,16,16,relu,relu,adam,5e-4,mse,50
001,005,base,025,28,7,35,002,001,3.1661571726055615,4.58184678848681,001,1,64,0,relu,none,adam,0.005,mse,10
001,005,base,001,0,7,7,002,002,3.966993621243113,13.436087784952612,001,2,16,8,relu,relu,adam,0.001,mse,100
001,005,base,002,0,7,14,002,002,5.070415399644922,20.45744739818496,001,2,64,16,relu,relu,adam,0.005,mse,10
001,005,base,003,0,7,21,002,002,5.205598654819758,27.446787684673126,001,2,32,16,relu,relu,adam,0.005,mse,10
001,005,base,004,0,7,28,002,002,1.9326302629536556,32.33935323767349,001,2,16,8,relu,relu,adam,0.005,mse,50
001,005,base,005,0,7,35,002,002,5.848925636653938,39.966272577118374,001,2,32,8,relu,relu,adam,5e-4,mse,10
001,005,base,006,7,7,7,002,002,5.590726968803205,27.223923998051514,001,1,16,0,relu,none,adam,0.005,mse,100
001,005,base,007,7,7,14,002,002,6.872215672606761,33.25607272062926,001,2,64,16,relu,relu,adam,0.005,mse,10
001,005,base,008,7,7,21,002,002,1.7647766189439644,37.59809546930935,001,2,32,8,relu,relu,adam,0.005,mse,50
001,005,base,009,7,7,28,002,002,5.665344039167308,41.23372380860839,001,2,64,8,relu,relu,adam,5e-4,mse,10
001,005,base,010,7,7,35,002,002,4.357908616833523,46.80153881835144,001,2,32,32,relu,relu,adam,5e-4,mse,10
001,005,base,011,14,7,7,002,002,7.622023689474975,36.86539072995418,001,1,16,0,relu,none,adam,0.001,mse,100
001,005,base,012,14,7,14,002,002,7.490969661282076,41.45008669616934,001,2,16,8,relu,relu,adam,0.005,mse,10
001,005,base,013,14,7,21,002,002,5.709653811923567,44.45087945402008,001,2,32,32,relu,relu,adam,0.001,mse,10
001,005,base,014,14,7,28,002,002,1.1792560028471752,46.544495791057045,001,1,16,0,relu,none,adam,0.005,mse,100
001,005,base,015,14,7,35,002,002,3.1902979454509293,47.1892812669413,001,1,16,0,relu,none,adam,0.001,mse,10
001,005,base,016,21,7,7,002,002,7.5533098587793495,43.72003103211139,001,2,16,8,relu,relu,adam,0.002,mse,100
001,005,base,017,21,7,14,002,002,2.723668025009433,43.506181651260476,001,2,32,16,relu,relu,adam,0.001,mse,100
001,005,base,018,21,7,21,002,002,4.198114846997388,48.66520300791711,001,2,16,8,relu,relu,adam,0.002,mse,10
001,005,base,019,21,7,28,002,002,3.0769601418043657,50.011561944057036,001,2,64,8,relu,relu,adam,5e-4,mse,10
001,005,base,020,21,7,35,002,002,2.717651072916011,50.38183356589978,001,2,64,8,relu,relu,adam,5e-4,mse,10
001,005,base,021,28,7,7,002,002,5.271328057555719,46.226796705746544,001,2,32,8,relu,relu,adam,0.005,mse,50
001,005,base,022,28,7,14,002,002,3.6550424094599485,48.56743216629447,001,1,32,0,relu,none,adam,0.001,mse,100
001,005,base,023,28,7,21,002,002,3.00490559516461,51.00956134270919,001,2,64,8,relu,relu,adam,0.001,mse,10
001,005,base,024,28,7,28,002,002,2.7585136003287896,52.49427745222913,001,2,16,8,relu,relu,adam,0.001,mse,10
001,005,base,025,28,7,35,002,002,2.3326418898620385,52.605379383108506,001,2,64,8,relu,relu,adam,5e-4,mse,10
001,005,base,001,0,7,7,002,003,10.322702563738199,8.540605324918351,001,1,32,0,relu,none,adam,0.002,mse,10
001,005,base,002,0,7,14,002,003,14.38680624852455,7.789312375309407,001,1,64,0,relu,none,adam,0.001,mse,10
001,005,base,003,0,7,21,002,003,16.92494900243199,6.599431269065942,001,2,32,32,relu,relu,adam,0.001,mse,10
001,005,base,004,0,7,28,002,003,19.80496984176483,8.842548964076894,001,2,64,16,relu,relu,adam,0.001,mse,10
001,005,base,005,0,7,35,002,003,144.1051978459454,11.163768365770698,001,2,16,8,relu,relu,adam,0.002,mse,10
001,005,base,006,7,7,7,002,003,17.257348470637936,8.409996099149463,001,1,64,0,relu,none,adam,0.005,mse,10
001,005,base,007,7,7,14,002,003,20.381989172199322,7.0240009791298625,001,2,32,8,relu,relu,adam,0.002,mse,10
001,005,base,008,7,7,21,002,003,21.82818138006815,6.586752299139299,001,2,32,8,relu,relu,adam,0.002,mse,10
001,005,base,009,7,7,28,002,003,50.35125728499098,5.39823380327214,001,2,32,32,relu,relu,adam,0.002,mse,10
001,005,base,010,7,7,35,002,003,179.75115811240238,14.473697161478869,001,2,16,32,relu,relu,adam,0.005,mse,10
001,005,base,011,14,7,7,002,003,23.47602906997883,8.661388400991635,001,2,32,32,relu,relu,adam,0.005,mse,10
001,005,base,012,14,7,14,002,003,24.114920367848725,7.3852956349415075,001,2,32,16,relu,relu,adam,0.005,mse,10
001,005,base,013,14,7,21,002,003,26.543724163481,6.985489809339609,001,2,64,32,relu,relu,adam,0.005,mse,10
001,005,base,014,14,7,28,002,003,67.8466924580149,15.16738613528066,001,2,16,32,relu,relu,adam,0.005,mse,10
